date,stablecoin,ticker,issuer,blockchain_network,supply_usd,market_cap_usd,circulating_supply,source_id,source_name,source_url_or_reference,data_provider,publication_date,extraction_date,vintage_date,update_frequency,license_or_usage_note,raw_file_name,raw_file_hash_sha256,transformation_script,methodology_version,observed_vs_estimated_flag,official_vs_manual_flag,mock_data_flag,credibility_tier,jurisdiction,data_quality_score,data_quality_grade,confidence_score
2026-06-01,USDC,USDC,Circle,BSC,1280528720.976458,1280528720.976458,1280528720.976458,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,USDC,USDC,Circle,AVALANCHE,402622919.40147054,402622919.40147054,402622919.40147054,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,USDC,USDC,Circle,Arbitrum,2329925072.056717,2329925072.056717,2329925072.056717,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,USDC,USDC,Circle,Solana,7281985708.758592,7281985708.758592,7281985708.758592,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,DAI,DAI,MakerDAO,BSC,31060716.894018844,31060716.894018844,31060716.894018844,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,DAI,DAI,MakerDAO,AVALANCHE,10900212.324120812,10900212.324120812,10900212.324120812,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,DAI,DAI,MakerDAO,Arbitrum,18760912.21002593,18760912.21002593,18760912.21002593,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,DAI,DAI,MakerDAO,Polygon,724358836.793863,724358836.793863,724358836.793863,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,DAI,DAI,MakerDAO,Ethereum,3721756074.175152,3721756074.175152,3721756074.175152,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,DAI,DAI,MakerDAO,Solana,512829.7754059174,512829.7754059174,512829.7754059174,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
