stablecoin,supply_usd,data_quality_score,data_quality_grade,mock_data_flag,source_id,exchange_liquidity_score,redemption_access_score,digital_run_velocity_score,run_regime,sensitivity_score_low,sensitivity_score_high,top_drivers,interpretation,methodology_version,limitations,entity,entity_type,redemption_gate_flag,banking_hours_dependency_flag,estimated_redemption_time_hours
DAI,4507349582.172586,73.0,Strong preliminary,False,defillama,79.54926504178275,70.0,45.06761024373259,elevated,35.06761024373259,55.06761024373259,always_on_transferability; fast_information_propagation,Run-velocity conditions elevated — not a run prediction (estimated),stablecoin-lab-credible-1.0,"Digital run velocity is a risk-conditions composite, not a run forecast. Does not predict redemption timing, magnitude, or probability. Measurement framework only — studies stablecoin settlement windows, finality, and payment-infrastructure risk under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not a recommendation to buy, sell, or hold any stablecoin or crypto asset, and not operational guidance for live treasury or payment systems.",DAI,stablecoin,,,
ETHENA USDE,3600435933.550809,73.0,Strong preliminary,False,defillama,79.63995640664491,70.0,45.05400653900327,elevated,35.05400653900327,55.05400653900327,always_on_transferability; fast_information_propagation,Run-velocity conditions elevated — not a run prediction (estimated),stablecoin-lab-credible-1.0,"Digital run velocity is a risk-conditions composite, not a run forecast. Does not predict redemption timing, magnitude, or probability. Measurement framework only — studies stablecoin settlement windows, finality, and payment-infrastructure risk under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not a recommendation to buy, sell, or hold any stablecoin or crypto asset, and not operational guidance for live treasury or payment systems.",ETHENA USDE,stablecoin,,,
FIRST DIGITAL USD,310422780.39941436,73.0,Strong preliminary,False,defillama,79.96895772196005,70.0,45.004656341705996,elevated,35.004656341705996,55.004656341705996,always_on_transferability; fast_information_propagation,Run-velocity conditions elevated — not a run prediction (estimated),stablecoin-lab-credible-1.0,"Digital run velocity is a risk-conditions composite, not a run forecast. Does not predict redemption timing, magnitude, or probability. Measurement framework only — studies stablecoin settlement windows, finality, and payment-infrastructure risk under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not a recommendation to buy, sell, or hold any stablecoin or crypto asset, and not operational guidance for live treasury or payment systems.",FIRST DIGITAL USD,stablecoin,,,
PYUSD,3028294211.516239,73.0,Strong preliminary,False,defillama,79.69717057884837,70.0,45.04542441317274,elevated,35.04542441317274,55.04542441317274,always_on_transferability; fast_information_propagation,Run-velocity conditions elevated — not a run prediction (estimated),stablecoin-lab-credible-1.0,"Digital run velocity is a risk-conditions composite, not a run forecast. Does not predict redemption timing, magnitude, or probability. Measurement framework only — studies stablecoin settlement windows, finality, and payment-infrastructure risk under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not a recommendation to buy, sell, or hold any stablecoin or crypto asset, and not operational guidance for live treasury or payment systems.",PYUSD,stablecoin,,,
USDC,66769774082.579025,73.0,Strong preliminary,False,defillama,73.3230225917421,66.0,46.60154661123868,elevated,36.60154661123868,56.60154661123868,always_on_transferability; fast_information_propagation,Run-velocity conditions elevated — not a run prediction (estimated),stablecoin-lab-credible-1.0,"Digital run velocity is a risk-conditions composite, not a run forecast. Does not predict redemption timing, magnitude, or probability. Measurement framework only — studies stablecoin settlement windows, finality, and payment-infrastructure risk under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not a recommendation to buy, sell, or hold any stablecoin or crypto asset, and not operational guidance for live treasury or payment systems.",USDC,stablecoin,False,False,24.0
USDT,183642547435.01395,73.0,Strong preliminary,False,defillama,61.63574525649861,42.0,28.954638211525207,low,18.954638211525207,38.95463821152521,always_on_transferability; limited_redemption_access; fast_information_propagation; redemption_gates_present; banking_hours_dependency,Run-velocity conditions low — not a run prediction (estimated),stablecoin-lab-credible-1.0,"Digital run velocity is a risk-conditions composite, not a run forecast. Does not predict redemption timing, magnitude, or probability. Measurement framework only — studies stablecoin settlement windows, finality, and payment-infrastructure risk under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not a recommendation to buy, sell, or hold any stablecoin or crypto asset, and not operational guidance for live treasury or payment systems.",USDT,stablecoin,True,True,48.0
XBANKING USDE,49147.574013545,73.0,Strong preliminary,False,defillama,79.9999950852426,70.0,45.00000073721361,elevated,35.00000073721361,55.00000073721361,always_on_transferability; fast_information_propagation,Run-velocity conditions elevated — not a run prediction (estimated),stablecoin-lab-credible-1.0,"Digital run velocity is a risk-conditions composite, not a run forecast. Does not predict redemption timing, magnitude, or probability. Measurement framework only — studies stablecoin settlement windows, finality, and payment-infrastructure risk under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not a recommendation to buy, sell, or hold any stablecoin or crypto asset, and not operational guidance for live treasury or payment systems.",XBANKING USDE,stablecoin,,,
