date,year,quarter,country,currency,inflation_yoy,policy_rate,gdp_growth,current_account_gdp,reserves_months_imports,external_debt_gdp,remittances_gdp,imports_gdp,trade_openness,unemployment,source
2015-01-01,2015,2015Q1,Brazil,BRL,0.0902990102416136,0.1175,-0.035457633934727804,-0.035183920728161,6.5,0.307299282835538,0.0016074190786565402,0.140534345185884,0.290534345185884,0.08538,world_bank_api
2015-04-01,2015,2015Q2,Brazil,BRL,0.0902990102416136,0.1175,-0.035457633934727804,-0.035183920728161,6.5,0.307299282835538,0.0016074190786565402,0.140534345185884,0.290534345185884,0.08538,world_bank_api
2015-07-01,2015,2015Q3,Brazil,BRL,0.0902990102416136,0.1175,-0.035457633934727804,-0.035183920728161,6.5,0.307299282835538,0.0016074190786565402,0.140534345185884,0.290534345185884,0.08538,world_bank_api
2015-10-01,2015,2015Q4,Brazil,BRL,0.0902990102416136,0.1175,-0.035457633934727804,-0.035183920728161,6.5,0.307299282835538,0.0016074190786565402,0.140534345185884,0.290534345185884,0.08538,world_bank_api
2016-01-01,2016,2016Q1,Brazil,BRL,0.0873914352329393,0.1175,-0.032759169063211,-0.0170011360207642,6.5,0.30909087346764197,0.0015257541911344798,0.120670030342632,0.270670030342632,0.1158,world_bank_api
2016-04-01,2016,2016Q2,Brazil,BRL,0.0873914352329393,0.1175,-0.032759169063211,-0.0170011360207642,6.5,0.30909087346764197,0.0015257541911344798,0.120670030342632,0.270670030342632,0.1158,world_bank_api
2016-07-01,2016,2016Q3,Brazil,BRL,0.0873914352329393,0.1175,-0.032759169063211,-0.0170011360207642,6.5,0.30909087346764197,0.0015257541911344798,0.120670030342632,0.270670030342632,0.1158,world_bank_api
2016-10-01,2016,2016Q4,Brazil,BRL,0.0873914352329393,0.1175,-0.032759169063211,-0.0170011360207642,6.5,0.30909087346764197,0.0015257541911344798,0.120670030342632,0.270670030342632,0.1158,world_bank_api
2017-01-01,2017,2017Q1,Brazil,BRL,0.0344637335032669,0.1175,0.0132286905390815,-0.0122429942889483,6.5,0.268156664558868,0.00130785143710407,0.11800766503667001,0.26800766503667,0.12792,world_bank_api
2017-04-01,2017,2017Q2,Brazil,BRL,0.0344637335032669,0.1175,0.0132286905390815,-0.0122429942889483,6.5,0.268156664558868,0.00130785143710407,0.11800766503667001,0.26800766503667,0.12792,world_bank_api
2017-07-01,2017,2017Q3,Brazil,BRL,0.0344637335032669,0.1175,0.0132286905390815,-0.0122429942889483,6.5,0.268156664558868,0.00130785143710407,0.11800766503667001,0.26800766503667,0.12792,world_bank_api
2017-10-01,2017,2017Q4,Brazil,BRL,0.0344637335032669,0.1175,0.0132286905390815,-0.0122429942889483,6.5,0.268156664558868,0.00130785143710407,0.11800766503667001,0.26800766503667,0.12792,world_bank_api
2018-01-01,2018,2018Q1,Brazil,BRL,0.0366485028376728,0.1175,0.0178366676137003,-0.0280752036371843,6.5,0.299289604206331,0.00153030293312066,0.142412038802734,0.29241203880273403,0.12329000000000001,world_bank_api
2018-04-01,2018,2018Q2,Brazil,BRL,0.0366485028376728,0.1175,0.0178366676137003,-0.0280752036371843,6.5,0.299289604206331,0.00153030293312066,0.142412038802734,0.29241203880273403,0.12329000000000001,world_bank_api
2018-07-01,2018,2018Q3,Brazil,BRL,0.0366485028376728,0.1175,0.0178366676137003,-0.0280752036371843,6.5,0.299289604206331,0.00153030293312066,0.142412038802734,0.29241203880273403,0.12329000000000001,world_bank_api
2018-10-01,2018,2018Q4,Brazil,BRL,0.0366485028376728,0.1175,0.0178366676137003,-0.0280752036371843,6.5,0.299289604206331,0.00153030293312066,0.142412038802734,0.29241203880273403,0.12329000000000001,world_bank_api
2019-01-01,2019,2019Q1,Brazil,BRL,0.0373297621216893,0.1175,0.012207778227194299,-0.0341429111497121,6.5,0.311964144613097,0.0017154977794245699,0.147673386788259,0.297673386788259,0.11936,world_bank_api
