country,year,account_ownership_pct,card_ownership_pct,digital_payment_usage_pct,mobile_money_usage_pct,mobile_phone_ownership_pct,remittance_received_pct,formal_savings_pct,cash_dependency_proxy,source_id,findex_year,observed_vs_estimated_flag
Brazil,2024,0.863811782311541,0.40171591586295397,0.7736295262267571,0.09019703782129641,0.9205328575449739,0.520474753905733,,0.22637047377324293,world_bank_findex,2024,observed
Canada,2024,0.984047126063262,,,,0.894378063520212,,,0.5,world_bank_findex,2024,observed
Colombia,2024,0.5705948562813741,0.066512824861684,0.49233463628267005,0.0304796280114188,0.8807424581025459,0.288233981315811,,0.50766536371733,world_bank_findex,2024,observed
France,2024,0.9919023723502061,,,,0.9099174656302,,,0.5,world_bank_findex,2024,observed
Germany,2024,0.982983235670699,,,,0.919605140243591,,,0.5,world_bank_findex,2024,observed
India,2024,0.890248224502547,0.021261336174812403,0.484579645683561,0.019735005518947298,0.6647355300085119,0.361865112143465,,0.5154203543164391,world_bank_findex,2024,observed
Japan,2024,0.985235592091779,,,,0.93849327417034,,,0.5,world_bank_findex,2024,observed
Mexico,2024,0.530320833316729,0.11284462982669,0.41394201092230704,0.0058986196033304706,0.83262550312035,0.294308898612698,,0.5860579890776929,world_bank_findex,2024,observed
Nigeria,2024,0.632613514491542,0.0188242972291239,0.544771426679894,0.0435288311368027,0.837680817899633,0.43500681885129194,,0.455228573320106,world_bank_findex,2024,observed
Philippines,2024,0.501824221429254,0.020109967493176797,0.403338087786247,0.045097448594665704,0.7800169308892371,0.272347663879632,,0.596661912213753,world_bank_findex,2024,observed
Saudi Arabia,2024,0.788409517231945,0.252965692288862,0.7572463486790769,0.0317037659615669,0.979335069417884,,,0.24275365132092308,world_bank_findex,2024,observed
South Africa,2024,0.8112596620520109,0.0633547766440081,0.671721775440991,0.0168432723403035,0.869732627120313,0.562748065527233,,0.328278224559009,world_bank_findex,2024,observed
United Kingdom,2024,0.992843092777584,,,,0.917809314624709,,,0.5,world_bank_findex,2024,observed
United States,2024,0.970230983290589,,,,0.9801307252902111,,,0.5,world_bank_findex,2024,observed
