split,test_period,strategy,mae_model,rmse_model,dir_acc_model_pct,mae_rw,rmse_rw,dir_acc_rw_pct,dm_stat,dm_pvalue,model_beats_rw_mae,clark_west_note
split_1,2019-01-01..2021-12-31,flat_range,0.00589448721764916,0.008711041544637118,40.3485254691689,0.005895601064349947,0.008713203156143164,0.0,-0.03679349200526516,0.9706496631641588,True,CW not run — use when nested OLS forecast; rules are non-nested here.
split_2,2022-01-01..2024-12-31,flat_range,0.005467322210796488,0.007326737522885084,40.987983978638184,0.005460200758110491,0.007325935325230996,0.0,0.011545285746290634,0.9907883993947015,False,CW not run — use when nested OLS forecast; rules are non-nested here.
split_3,2025-01-01..2026-12-31,flat_range,0.0042610424089811775,0.005968241655550356,45.63953488372093,0.004266504130532031,0.005965083645333547,0.0,0.03713285498406126,0.9703790755959965,True,CW not run — use when nested OLS forecast; rules are non-nested here.
