corridor_id,policy_name,exposure_type,total_return_proxy,unhedged_volatility,hedged_volatility,volatility_reduction,max_drawdown_unhedged,max_drawdown_hedged,hedge_turnover,total_hedge_cost,average_hedge_ratio,number_of_hedge_changes,cost_adjusted_risk_reduction,regret_proxy,status,ticker,split,oos_design,test_period,test_bars,sample,warmup_start
USDMXN=X,regime_based,us_entity_long_mxn,-2.415,11.62,4.268,7.352,-22.971,-10.029,13.4,0.268,0.618,77,7.084,3.144,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,no_change_in_range,us_entity_long_mxn,-1.619,11.62,4.31,7.311,-22.971,-8.414,5.0,0.1,0.65,50,7.211,3.117,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,volatility_triggered,us_entity_long_mxn,-0.406,11.62,4.762,6.859,-22.971,-10.991,15.6,0.312,0.549,52,6.547,3.606,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,half_hedged,receiver_currency_exposure,-2.301,11.62,5.81,5.81,-22.971,-12.056,0.0,0.0,0.5,0,5.81,4.325,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,mostly_hedged,receiver_currency_exposure,-1.033,11.62,2.905,8.715,-22.971,-6.174,0.0,0.0,0.75,0,8.715,2.163,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,regime_based,receiver_currency_exposure,-2.415,11.62,4.268,7.352,-22.971,-10.029,13.4,0.268,0.618,77,7.084,3.144,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,no_change_in_range,receiver_currency_exposure,-1.619,11.62,4.31,7.311,-22.971,-8.414,5.0,0.1,0.65,50,7.211,3.117,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,volatility_triggered,receiver_currency_exposure,-0.406,11.62,4.762,6.859,-22.971,-10.991,15.6,0.312,0.549,52,6.547,3.606,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,half_hedged,usd_liability_exposure,1.334,11.62,5.81,5.81,-23.701,-12.404,0.0,0.0,0.5,0,5.81,4.325,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,mostly_hedged,usd_liability_exposure,0.791,11.62,2.905,8.715,-23.701,-6.341,0.0,0.0,0.75,0,8.715,2.163,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,regime_based,usd_liability_exposure,1.376,11.62,4.268,7.352,-23.701,-9.429,13.4,0.268,0.618,77,7.084,3.145,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,no_change_in_range,usd_liability_exposure,0.884,11.62,4.309,7.312,-23.701,-8.873,5.0,0.1,0.65,50,7.212,3.116,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,volatility_triggered,usd_liability_exposure,-0.887,11.62,4.759,6.862,-23.701,-12.243,15.6,0.312,0.549,52,6.55,3.603,ok,USDMXN=X,split_2,fixed_split,2022-01-01..2024-12-31,750,test,2010-01-01
USDMXN=X,half_hedged,us_entity_long_mxn,9.1,9.488,4.744,4.744,-5.525,-2.782,0.0,0.0,0.5,0,4.744,3.402,ok,USDMXN=X,split_3,fixed_split,2025-01-01..2026-12-31,344,test,2010-01-01
USDMXN=X,mostly_hedged,us_entity_long_mxn,4.491,9.488,2.372,7.116,-5.525,-1.396,0.0,0.0,0.75,0,7.116,1.701,ok,USDMXN=X,split_3,fixed_split,2025-01-01..2026-12-31,344,test,2010-01-01
USDMXN=X,regime_based,us_entity_long_mxn,8.682,9.488,3.63,5.858,-5.525,-2.025,4.2,0.084,0.604,18,5.774,2.597,ok,USDMXN=X,split_3,fixed_split,2025-01-01..2026-12-31,344,test,2010-01-01
USDMXN=X,no_change_in_range,us_entity_long_mxn,5.504,9.488,3.384,6.104,-5.525,-2.229,0.6,0.012,0.668,6,6.092,2.328,ok,USDMXN=X,split_3,fixed_split,2025-01-01..2026-12-31,344,test,2010-01-01
USDMXN=X,volatility_triggered,us_entity_long_mxn,10.603,9.488,4.416,5.073,-5.525,-1.917,1.8,0.036,0.495,6,5.037,3.223,ok,USDMXN=X,split_3,fixed_split,2025-01-01..2026-12-31,344,test,2010-01-01
USDMXN=X,half_hedged,receiver_currency_exposure,9.1,9.488,4.744,4.744,-5.525,-2.782,0.0,0.0,0.5,0,4.744,3.402,ok,USDMXN=X,split_3,fixed_split,2025-01-01..2026-12-31,344,test,2010-01-01
USDMXN=X,mostly_hedged,receiver_currency_exposure,4.491,9.488,2.372,7.116,-5.525,-1.396,0.0,0.0,0.75,0,7.116,1.701,ok,USDMXN=X,split_3,fixed_split,2025-01-01..2026-12-31,344,test,2010-01-01
USDMXN=X,regime_based,receiver_currency_exposure,8.682,9.488,3.63,5.858,-5.525,-2.025,4.2,0.084,0.604,18,5.774,2.597,ok,USDMXN=X,split_3,fixed_split,2025-01-01..2026-12-31,344,test,2010-01-01
USDMXN=X,no_change_in_range,receiver_currency_exposure,5.504,9.488,3.384,6.104,-5.525,-2.229,0.6,0.012,0.668,6,6.092,2.328,ok,USDMXN=X,split_3,fixed_split,2025-01-01..2026-12-31,344,test,2010-01-01
USDMXN=X,volatility_triggered,receiver_currency_exposure,10.603,9.488,4.416,5.073,-5.525,-1.917,1.8,0.036,0.495,6,5.037,3.223,ok,USDMXN=X,split_3,fixed_split,2025-01-01..2026-12-31,344,test,2010-01-01
USDMXN=X,half_hedged,usd_liability_exposure,-8.624,9.488,4.744,4.744,-18.137,-9.475,0.0,0.0,0.5,0,4.744,3.402,ok,USDMXN=X,split_3,fixed_split,2025-01-01..2026-12-31,344,test,2010-01-01
USDMXN=X,mostly_hedged,usd_liability_exposure,-4.372,9.488,2.372,7.116,-18.137,-4.843,0.0,0.0,0.75,0,7.116,1.701,ok,USDMXN=X,split_3,fixed_split,2025-01-01..2026-12-31,344,test,2010-01-01
USDMXN=X,regime_based,usd_liability_exposure,-8.31,9.488,3.632,5.856,-18.137,-8.926,4.2,0.084,0.604,18,5.772,2.599,ok,USDMXN=X,split_3,fixed_split,2025-01-01..2026-12-31,344,test,2010-01-01
USDMXN=X,no_change_in_range,usd_liability_exposure,-5.388,9.488,3.384,6.104,-18.137,-6.476,0.6,0.012,0.668,6,6.092,2.328,ok,USDMXN=X,split_3,fixed_split,2025-01-01..2026-12-31,344,test,2010-01-01
USDMXN=X,volatility_triggered,usd_liability_exposure,-9.894,9.488,4.415,5.073,-18.137,-10.517,1.8,0.036,0.495,6,5.037,3.223,ok,USDMXN=X,split_3,fixed_split,2025-01-01..2026-12-31,344,test,2010-01-01
USDMXN=X,half_hedged,us_entity_long_mxn,-0.455,5.867,2.934,2.934,-5.242,-2.624,0.0,0.0,0.5,0,2.934,2.3,ok,USDMXN=X,wf_0,walk_forward,2006-09-14..2007-09-13,253,test,2001-09-14
USDMXN=X,mostly_hedged,us_entity_long_mxn,-0.217,5.867,1.467,4.4,-5.242,-1.313,0.0,0.0,0.75,0,4.4,1.15,ok,USDMXN=X,wf_0,walk_forward,2006-09-14..2007-09-13,253,test,2001-09-14
USDMXN=X,regime_based,us_entity_long_mxn,-0.546,5.867,2.657,3.21,-5.242,-2.246,5.2,0.104,0.544,24,3.106,2.055,ok,USDMXN=X,wf_0,walk_forward,2006-09-14..2007-09-13,253,test,2001-09-14
USDMXN=X,no_change_in_range,us_entity_long_mxn,-0.148,5.867,1.942,3.925,-5.242,-1.739,1.2,0.024,0.682,12,3.901,1.48,ok,USDMXN=X,wf_0,walk_forward,2006-09-14..2007-09-13,253,test,2001-09-14
USDMXN=X,volatility_triggered,us_entity_long_mxn,-1.038,5.867,3.127,2.74,-5.242,-2.786,3.6,0.072,0.453,12,2.668,2.456,ok,USDMXN=X,wf_0,walk_forward,2006-09-14..2007-09-13,253,test,2001-09-14
USDMXN=X,half_hedged,receiver_currency_exposure,-0.455,5.867,2.934,2.934,-5.242,-2.624,0.0,0.0,0.5,0,2.934,2.3,ok,USDMXN=X,wf_0,walk_forward,2006-09-14..2007-09-13,253,test,2001-09-14
USDMXN=X,mostly_hedged,receiver_currency_exposure,-0.217,5.867,1.467,4.4,-5.242,-1.313,0.0,0.0,0.75,0,4.4,1.15,ok,USDMXN=X,wf_0,walk_forward,2006-09-14..2007-09-13,253,test,2001-09-14
USDMXN=X,regime_based,receiver_currency_exposure,-0.546,5.867,2.657,3.21,-5.242,-2.246,5.2,0.104,0.544,24,3.106,2.055,ok,USDMXN=X,wf_0,walk_forward,2006-09-14..2007-09-13,253,test,2001-09-14
USDMXN=X,no_change_in_range,receiver_currency_exposure,-0.148,5.867,1.942,3.925,-5.242,-1.739,1.2,0.024,0.682,12,3.901,1.48,ok,USDMXN=X,wf_0,walk_forward,2006-09-14..2007-09-13,253,test,2001-09-14
USDMXN=X,volatility_triggered,receiver_currency_exposure,-1.038,5.867,3.127,2.74,-5.242,-2.786,3.6,0.072,0.453,12,2.668,2.456,ok,USDMXN=X,wf_0,walk_forward,2006-09-14..2007-09-13,253,test,2001-09-14
USDMXN=X,half_hedged,usd_liability_exposure,0.37,5.867,2.934,2.934,-4.229,-2.132,0.0,0.0,0.5,0,2.934,2.3,ok,USDMXN=X,wf_0,walk_forward,2006-09-14..2007-09-13,253,test,2001-09-14
USDMXN=X,mostly_hedged,usd_liability_exposure,0.196,5.867,1.467,4.4,-4.229,-1.071,0.0,0.0,0.75,0,4.4,1.15,ok,USDMXN=X,wf_0,walk_forward,2006-09-14..2007-09-13,253,test,2001-09-14
USDMXN=X,regime_based,usd_liability_exposure,0.269,5.867,2.657,3.21,-4.229,-2.188,5.2,0.104,0.544,24,3.106,2.054,ok,USDMXN=X,wf_0,walk_forward,2006-09-14..2007-09-13,253,test,2001-09-14
USDMXN=X,no_change_in_range,usd_liability_exposure,0.062,5.867,1.943,3.924,-4.229,-1.401,1.2,0.024,0.682,12,3.9,1.481,ok,USDMXN=X,wf_0,walk_forward,2006-09-14..2007-09-13,253,test,2001-09-14
USDMXN=X,volatility_triggered,usd_liability_exposure,0.804,5.867,3.129,2.738,-4.229,-2.554,3.6,0.072,0.453,12,2.666,2.459,ok,USDMXN=X,wf_0,walk_forward,2006-09-14..2007-09-13,253,test,2001-09-14
USDMXN=X,half_hedged,us_entity_long_mxn,2.211,5.46,2.73,2.73,-7.036,-3.573,0.0,0.0,0.5,0,2.73,2.099,ok,USDMXN=X,wf_1,walk_forward,2007-09-14..2008-09-13,253,test,2002-09-14
USDMXN=X,mostly_hedged,us_entity_long_mxn,1.109,5.46,1.365,4.095,-7.036,-1.8,0.0,0.0,0.75,0,4.095,1.05,ok,USDMXN=X,wf_1,walk_forward,2007-09-14..2008-09-13,253,test,2002-09-14
USDMXN=X,regime_based,us_entity_long_mxn,1.637,5.46,2.168,3.292,-7.036,-2.595,4.4,0.088,0.585,24,3.204,1.669,ok,USDMXN=X,wf_1,walk_forward,2007-09-14..2008-09-13,253,test,2002-09-14
USDMXN=X,no_change_in_range,us_entity_long_mxn,1.147,5.46,1.92,3.54,-7.036,-2.835,1.4,0.028,0.673,14,3.512,1.416,ok,USDMXN=X,wf_1,walk_forward,2007-09-14..2008-09-13,253,test,2002-09-14
USDMXN=X,volatility_triggered,us_entity_long_mxn,3.04,5.46,2.616,2.843,-7.036,-2.267,4.2,0.084,0.482,14,2.759,2.051,ok,USDMXN=X,wf_1,walk_forward,2007-09-14..2008-09-13,253,test,2002-09-14
USDMXN=X,half_hedged,receiver_currency_exposure,2.211,5.46,2.73,2.73,-7.036,-3.573,0.0,0.0,0.5,0,2.73,2.099,ok,USDMXN=X,wf_1,walk_forward,2007-09-14..2008-09-13,253,test,2002-09-14
USDMXN=X,mostly_hedged,receiver_currency_exposure,1.109,5.46,1.365,4.095,-7.036,-1.8,0.0,0.0,0.75,0,4.095,1.05,ok,USDMXN=X,wf_1,walk_forward,2007-09-14..2008-09-13,253,test,2002-09-14
USDMXN=X,regime_based,receiver_currency_exposure,1.637,5.46,2.168,3.292,-7.036,-2.595,4.4,0.088,0.585,24,3.204,1.669,ok,USDMXN=X,wf_1,walk_forward,2007-09-14..2008-09-13,253,test,2002-09-14
USDMXN=X,no_change_in_range,receiver_currency_exposure,1.147,5.46,1.92,3.54,-7.036,-2.835,1.4,0.028,0.673,14,3.512,1.416,ok,USDMXN=X,wf_1,walk_forward,2007-09-14..2008-09-13,253,test,2002-09-14
USDMXN=X,volatility_triggered,receiver_currency_exposure,3.04,5.46,2.616,2.843,-7.036,-2.267,4.2,0.084,0.482,14,2.759,2.051,ok,USDMXN=X,wf_1,walk_forward,2007-09-14..2008-09-13,253,test,2002-09-14
USDMXN=X,half_hedged,usd_liability_exposure,-2.236,5.46,2.73,2.73,-11.048,-5.66,0.0,0.0,0.5,0,2.73,2.099,ok,USDMXN=X,wf_1,walk_forward,2007-09-14..2008-09-13,253,test,2002-09-14
USDMXN=X,mostly_hedged,usd_liability_exposure,-1.115,5.46,1.365,4.095,-11.048,-2.865,0.0,0.0,0.75,0,4.095,1.05,ok,USDMXN=X,wf_1,walk_forward,2007-09-14..2008-09-13,253,test,2002-09-14
USDMXN=X,regime_based,usd_liability_exposure,-1.83,5.46,2.169,3.29,-11.048,-4.374,4.4,0.088,0.585,24,3.202,1.672,ok,USDMXN=X,wf_1,walk_forward,2007-09-14..2008-09-13,253,test,2002-09-14
USDMXN=X,no_change_in_range,usd_liability_exposure,-1.225,5.46,1.921,3.539,-11.048,-3.901,1.4,0.028,0.673,14,3.511,1.416,ok,USDMXN=X,wf_1,walk_forward,2007-09-14..2008-09-13,253,test,2002-09-14
USDMXN=X,volatility_triggered,usd_liability_exposure,-3.18,5.46,2.618,2.842,-11.048,-5.513,4.2,0.084,0.482,14,2.758,2.049,ok,USDMXN=X,wf_1,walk_forward,2007-09-14..2008-09-13,253,test,2002-09-14
USDMXN=X,half_hedged,us_entity_long_mxn,-12.675,23.071,11.535,11.535,-33.889,-18.283,0.0,0.0,0.5,0,11.535,7.763,ok,USDMXN=X,wf_2,walk_forward,2008-09-14..2009-09-13,251,test,2003-09-14
USDMXN=X,mostly_hedged,us_entity_long_mxn,-6.396,23.071,5.768,17.303,-33.889,-9.49,0.0,0.0,0.75,0,17.303,3.881,ok,USDMXN=X,wf_2,walk_forward,2008-09-14..2009-09-13,251,test,2003-09-14
USDMXN=X,regime_based,us_entity_long_mxn,-8.565,23.071,7.256,15.814,-33.889,-11.304,2.9,0.058,0.654,13,15.756,5.06,ok,USDMXN=X,wf_2,walk_forward,2008-09-14..2009-09-13,251,test,2003-09-14
USDMXN=X,no_change_in_range,us_entity_long_mxn,-10.103,23.071,9.062,14.008,-33.889,-14.848,0.5,0.01,0.634,5,13.998,5.919,ok,USDMXN=X,wf_2,walk_forward,2008-09-14..2009-09-13,251,test,2003-09-14
USDMXN=X,volatility_triggered,us_entity_long_mxn,-7.964,23.071,7.721,15.35,-33.889,-11.304,1.5,0.03,0.598,5,15.32,5.531,ok,USDMXN=X,wf_2,walk_forward,2008-09-14..2009-09-13,251,test,2003-09-14
USDMXN=X,half_hedged,receiver_currency_exposure,-12.675,23.071,11.535,11.535,-33.889,-18.283,0.0,0.0,0.5,0,11.535,7.763,ok,USDMXN=X,wf_2,walk_forward,2008-09-14..2009-09-13,251,test,2003-09-14
USDMXN=X,mostly_hedged,receiver_currency_exposure,-6.396,23.071,5.768,17.303,-33.889,-9.49,0.0,0.0,0.75,0,17.303,3.881,ok,USDMXN=X,wf_2,walk_forward,2008-09-14..2009-09-13,251,test,2003-09-14
USDMXN=X,regime_based,receiver_currency_exposure,-8.565,23.071,7.256,15.814,-33.889,-11.304,2.9,0.058,0.654,13,15.756,5.06,ok,USDMXN=X,wf_2,walk_forward,2008-09-14..2009-09-13,251,test,2003-09-14
USDMXN=X,no_change_in_range,receiver_currency_exposure,-10.103,23.071,9.062,14.008,-33.889,-14.848,0.5,0.01,0.634,5,13.998,5.919,ok,USDMXN=X,wf_2,walk_forward,2008-09-14..2009-09-13,251,test,2003-09-14
USDMXN=X,volatility_triggered,receiver_currency_exposure,-7.964,23.071,7.721,15.35,-33.889,-11.304,1.5,0.03,0.598,5,15.32,5.531,ok,USDMXN=X,wf_2,walk_forward,2008-09-14..2009-09-13,251,test,2003-09-14
