ticker,split,exposure_type,oos_design,test_period,no_change_cost_adj_risk_reduction,regime_based_cost_adj_risk_reduction,no_change_turnover,regime_based_turnover,turnover_reduction_pct,no_change_max_dd_hedged,regime_based_max_dd_hedged,no_change_wins_cost_adj,no_change_wins_turnover,no_change_dd_not_worse
USDJPY=X,wf_2,receiver_currency_exposure,walk_forward,2008-09-18..2009-09-17,13.069,13.582,0.1,1.9,94.74,-4.339,-5.683,False,True,True
USDJPY=X,wf_2,usd_liability_exposure,walk_forward,2008-09-18..2009-09-17,13.069,13.58,0.1,1.9,94.74,-8.061,-7.078,False,True,False
USDJPY=X,wf_3,receiver_currency_exposure,walk_forward,2009-09-18..2010-09-17,7.481,7.144,0.9,3.3,72.73,-4.13,-4.405,True,True,True
USDJPY=X,wf_3,usd_liability_exposure,walk_forward,2009-09-18..2010-09-17,7.482,7.148,0.9,3.3,72.73,-4.112,-4.58,True,True,True
USDJPY=X,wf_4,receiver_currency_exposure,walk_forward,2010-09-18..2011-09-17,5.725,5.214,0.9,3.9,76.92,-2.992,-2.251,True,True,False
USDJPY=X,wf_4,usd_liability_exposure,walk_forward,2010-09-18..2011-09-17,5.725,5.208,0.9,3.9,76.92,-3.94,-4.725,True,True,True
USDJPY=X,wf_5,receiver_currency_exposure,walk_forward,2011-09-18..2012-09-17,5.289,4.572,1.0,5.2,80.77,-3.831,-4.207,True,True,True
USDJPY=X,wf_5,usd_liability_exposure,walk_forward,2011-09-18..2012-09-17,5.289,4.572,1.0,5.2,80.77,-2.773,-3.279,True,True,True
USDJPY=X,wf_6,receiver_currency_exposure,walk_forward,2012-09-18..2013-09-17,7.705,8.245,0.8,3.5,77.14,-10.286,-9.921,False,True,False
USDJPY=X,wf_6,usd_liability_exposure,walk_forward,2012-09-18..2013-09-17,7.704,8.246,0.8,3.5,77.14,-3.531,-2.657,False,True,False
USDJPY=X,wf_7,receiver_currency_exposure,walk_forward,2013-09-18..2014-09-17,4.86,3.319,0.0,4.5,100.0,-3.104,-4.895,True,True,True
USDJPY=X,wf_7,usd_liability_exposure,walk_forward,2013-09-18..2014-09-17,4.86,3.32,0.0,4.5,100.0,-1.198,-2.084,True,True,True
USDJPY=X,wf_8,receiver_currency_exposure,walk_forward,2014-09-18..2015-09-17,6.06,5.858,0.5,3.3,84.85,-6.28,-6.787,True,True,True
USDJPY=X,wf_8,usd_liability_exposure,walk_forward,2014-09-18..2015-09-17,6.058,5.853,0.5,3.3,84.85,-1.792,-2.726,True,True,True
USDJPY=X,wf_9,receiver_currency_exposure,walk_forward,2015-09-18..2016-09-17,6.656,7.274,0.9,2.1,57.14,-2.506,-1.949,False,True,False
USDJPY=X,wf_9,usd_liability_exposure,walk_forward,2015-09-18..2016-09-17,6.656,7.275,0.9,2.1,57.14,-7.65,-6.446,False,True,False
USDJPY=X,wf_10,receiver_currency_exposure,walk_forward,2016-09-18..2017-09-17,6.343,5.658,1.7,5.1,66.67,-5.296,-6.186,True,True,True
USDJPY=X,wf_10,usd_liability_exposure,walk_forward,2016-09-18..2017-09-17,6.345,5.66,1.7,5.1,66.67,-2.375,-3.947,True,True,True
USDJPY=X,wf_11,receiver_currency_exposure,walk_forward,2017-09-18..2018-09-17,4.637,3.83,0.7,3.4,79.41,-2.281,-3.698,True,True,True
USDJPY=X,wf_11,usd_liability_exposure,walk_forward,2017-09-18..2018-09-17,4.639,3.834,0.7,3.4,79.41,-2.765,-3.624,True,True,True
USDJPY=X,wf_12,receiver_currency_exposure,walk_forward,2018-09-18..2019-09-17,4.078,3.632,0.7,3.2,78.12,-1.469,-1.703,True,True,True
USDJPY=X,wf_12,usd_liability_exposure,walk_forward,2018-09-18..2019-09-17,4.076,3.63,0.7,3.2,78.12,-3.096,-3.651,True,True,True
USDJPY=X,wf_13,receiver_currency_exposure,walk_forward,2019-09-18..2020-09-17,4.968,4.579,1.0,4.8,79.17,-3.054,-2.302,True,True,False
USDJPY=X,wf_13,usd_liability_exposure,walk_forward,2019-09-18..2020-09-17,4.969,4.58,1.0,4.8,79.17,-3.223,-4.711,True,True,True
USDJPY=X,wf_14,receiver_currency_exposure,walk_forward,2020-09-18..2021-09-17,3.343,2.619,0.9,4.2,78.57,-2.512,-4.307,True,True,True
USDJPY=X,wf_14,usd_liability_exposure,walk_forward,2020-09-18..2021-09-17,3.343,2.616,0.9,4.2,78.57,-0.9,-1.493,True,True,True
USDJPY=X,wf_15,receiver_currency_exposure,walk_forward,2021-09-18..2022-09-17,5.479,5.977,1.9,4.6,58.7,-10.773,-10.71,False,True,False
USDJPY=X,wf_15,usd_liability_exposure,walk_forward,2021-09-18..2022-09-17,5.479,5.979,1.9,4.6,58.7,-2.156,-1.621,False,True,False
USDJPY=X,wf_16,receiver_currency_exposure,walk_forward,2022-09-18..2023-09-17,7.402,7.079,1.3,4.3,69.77,-5.288,-5.81,True,True,True
USDJPY=X,wf_16,usd_liability_exposure,walk_forward,2022-09-18..2023-09-17,7.404,7.08,1.3,4.3,69.77,-5.973,-4.42,True,True,False
USDJPY=X,wf_17,receiver_currency_exposure,walk_forward,2023-09-18..2024-09-17,6.007,5.973,0.5,2.3,78.26,-4.411,-4.964,True,True,True
USDJPY=X,wf_17,usd_liability_exposure,walk_forward,2023-09-18..2024-09-17,6.006,5.964,0.5,2.3,78.26,-5.328,-4.803,True,True,False
USDJPY=X,wf_18,receiver_currency_exposure,walk_forward,2024-09-18..2025-09-17,6.701,6.704,1.3,3.1,58.06,-3.763,-3.846,False,True,True
USDJPY=X,wf_18,usd_liability_exposure,walk_forward,2024-09-18..2025-09-17,6.701,6.703,1.3,3.1,58.06,-3.698,-4.114,False,True,True
USDJPY=X,wf_19,receiver_currency_exposure,walk_forward,2025-09-18..2026-05-25,5.526,4.314,0.4,2.8,85.71,-2.755,-4.173,True,True,True
USDJPY=X,wf_19,usd_liability_exposure,walk_forward,2025-09-18..2026-05-25,5.526,4.317,0.4,2.8,85.71,-1.402,-2.221,True,True,True
EURUSD=X,split_1,receiver_currency_exposure,fixed_split,2019-01-01..2021-12-31,3.921,3.277,3.2,13.9,76.98,-5.145,-5.402,True,True,True
EURUSD=X,split_1,usd_liability_exposure,fixed_split,2019-01-01..2021-12-31,3.92,3.274,3.2,13.9,76.98,-3.319,-3.836,True,True,True
EURUSD=X,split_2,receiver_currency_exposure,fixed_split,2022-01-01..2024-12-31,4.967,4.53,3.3,11.7,71.79,-6.04,-6.151,True,True,True
EURUSD=X,split_2,usd_liability_exposure,fixed_split,2022-01-01..2024-12-31,4.966,4.53,3.3,11.7,71.79,-6.454,-6.139,True,True,False
EURUSD=X,split_3,receiver_currency_exposure,fixed_split,2025-01-01..2026-12-31,4.776,4.653,0.9,4.5,80.0,-6.294,-5.707,True,True,False
EURUSD=X,split_3,usd_liability_exposure,fixed_split,2025-01-01..2026-12-31,4.777,4.655,0.9,4.5,80.0,-1.477,-2.212,True,True,True
EURUSD=X,wf_0,receiver_currency_exposure,walk_forward,2009-03-19..2010-03-18,7.174,6.233,0.5,1.7,70.59,-4.731,-6.27,True,True,True
EURUSD=X,wf_0,usd_liability_exposure,walk_forward,2009-03-19..2010-03-18,7.176,6.231,0.5,1.7,70.59,-3.419,-4.93,True,True,True
EURUSD=X,wf_1,receiver_currency_exposure,walk_forward,2010-03-19..2011-03-18,7.454,7.691,2.2,5.2,57.69,-6.281,-6.6,False,True,True
EURUSD=X,wf_1,usd_liability_exposure,walk_forward,2010-03-19..2011-03-18,7.454,7.694,2.2,5.2,57.69,-5.067,-4.136,False,True,False
EURUSD=X,wf_2,receiver_currency_exposure,walk_forward,2011-03-19..2012-03-18,7.599,6.812,1.4,5.4,74.07,-2.894,-2.263,True,True,False
EURUSD=X,wf_2,usd_liability_exposure,walk_forward,2011-03-19..2012-03-18,7.6,6.812,1.4,5.4,74.07,-5.024,-7.843,True,True,True
EURUSD=X,wf_3,receiver_currency_exposure,walk_forward,2012-03-19..2013-03-18,5.688,4.899,1.3,4.3,69.77,-4.175,-5.219,True,True,True
EURUSD=X,wf_3,usd_liability_exposure,walk_forward,2012-03-19..2013-03-18,5.689,4.903,1.3,4.3,69.77,-3.09,-3.636,True,True,True
EURUSD=X,wf_4,receiver_currency_exposure,walk_forward,2013-03-19..2014-03-18,4.903,3.975,0.9,6.5,86.15,-3.154,-4.958,True,True,True
EURUSD=X,wf_4,usd_liability_exposure,walk_forward,2013-03-19..2014-03-18,4.904,3.98,0.9,6.5,86.15,-1.5,-1.724,True,True,True
EURUSD=X,wf_5,receiver_currency_exposure,walk_forward,2014-03-19..2015-03-18,4.976,5.573,0.3,1.5,80.0,-1.24,-0.931,False,True,False
EURUSD=X,wf_5,usd_liability_exposure,walk_forward,2014-03-19..2015-03-18,4.975,5.569,0.3,1.5,80.0,-10.177,-9.035,False,True,False
EURUSD=X,wf_6,receiver_currency_exposure,walk_forward,2015-03-19..2016-03-18,7.318,7.114,0.7,3.7,81.08,-3.211,-2.75,True,True,False
EURUSD=X,wf_6,usd_liability_exposure,walk_forward,2015-03-19..2016-03-18,7.319,7.106,0.7,3.7,81.08,-2.647,-4.663,True,True,True
EURUSD=X,wf_7,receiver_currency_exposure,walk_forward,2016-03-19..2017-03-18,5.226,4.715,0.6,3.4,82.35,-1.488,-1.571,True,True,True
EURUSD=X,wf_7,usd_liability_exposure,walk_forward,2016-03-19..2017-03-18,5.228,4.716,0.6,3.4,82.35,-3.456,-4.108,True,True,True
EURUSD=X,wf_8,receiver_currency_exposure,walk_forward,2017-03-19..2018-03-18,4.597,4.347,4.2,6.2,32.26,-5.409,-6.76,True,True,True
EURUSD=X,wf_8,usd_liability_exposure,walk_forward,2017-03-19..2018-03-18,4.595,4.346,4.2,6.2,32.26,-1.377,-1.052,True,True,False
EURUSD=X,wf_9,receiver_currency_exposure,walk_forward,2018-03-19..2019-03-18,4.417,3.646,1.8,5.4,66.67,-1.313,-1.787,True,True,True
EURUSD=X,wf_9,usd_liability_exposure,walk_forward,2018-03-19..2019-03-18,4.416,3.645,1.8,5.4,66.67,-3.441,-4.644,True,True,True
EURUSD=X,wf_10,receiver_currency_exposure,walk_forward,2019-03-19..2020-03-18,3.448,2.827,1.3,4.6,71.74,-2.104,-1.738,True,True,False
EURUSD=X,wf_10,usd_liability_exposure,walk_forward,2019-03-19..2020-03-18,3.449,2.823,1.3,4.6,71.74,-1.922,-1.914,True,True,False
EURUSD=X,wf_11,receiver_currency_exposure,walk_forward,2020-03-19..2021-03-18,4.611,4.336,0.9,5.6,83.93,-5.145,-5.393,True,True,True
EURUSD=X,wf_11,usd_liability_exposure,walk_forward,2020-03-19..2021-03-18,4.611,4.334,0.9,5.6,83.93,-1.307,-1.393,True,True,True
EURUSD=X,wf_12,receiver_currency_exposure,walk_forward,2021-03-19..2022-03-18,4.052,3.447,1.3,4.1,68.29,-1.405,-1.633,True,True,True
EURUSD=X,wf_12,usd_liability_exposure,walk_forward,2021-03-19..2022-03-18,4.05,3.443,1.3,4.1,68.29,-3.979,-5.458,True,True,True
EURUSD=X,wf_13,receiver_currency_exposure,walk_forward,2022-03-19..2023-03-18,6.138,6.501,0.1,1.3,92.31,-5.023,-4.914,False,True,False
EURUSD=X,wf_13,usd_liability_exposure,walk_forward,2022-03-19..2023-03-18,6.138,6.501,0.1,1.3,92.31,-5.813,-4.385,False,True,False
EURUSD=X,wf_14,receiver_currency_exposure,walk_forward,2023-03-19..2024-03-18,4.455,3.519,1.2,5.1,76.47,-1.822,-2.64,True,True,True
EURUSD=X,wf_14,usd_liability_exposure,walk_forward,2023-03-19..2024-03-18,4.455,3.524,1.2,5.1,76.47,-2.085,-2.994,True,True,True
EURUSD=X,wf_15,receiver_currency_exposure,walk_forward,2024-03-19..2025-03-18,4.273,3.964,1.5,4.4,65.91,-2.561,-2.389,True,True,False
EURUSD=X,wf_15,usd_liability_exposure,walk_forward,2024-03-19..2025-03-18,4.271,3.962,1.5,4.4,65.91,-3.403,-2.874,True,True,False
EURUSD=X,wf_16,receiver_currency_exposure,walk_forward,2025-03-19..2026-03-18,4.781,4.514,0.8,3.2,75.0,-4.456,-4.44,True,True,False
EURUSD=X,wf_16,usd_liability_exposure,walk_forward,2025-03-19..2026-03-18,4.783,4.516,0.8,3.2,75.0,-1.477,-2.212,True,True,True
EURUSD=X,wf_17,receiver_currency_exposure,walk_forward,2026-03-19..2026-05-22,4.035,4.332,0.1,0.7,85.71,-1.204,-0.954,False,True,False
EURUSD=X,wf_17,usd_liability_exposure,walk_forward,2026-03-19..2026-05-22,4.035,4.328,0.1,0.7,85.71,-0.584,-0.588,False,True,True
USDINR=X,split_1,receiver_currency_exposure,fixed_split,2019-01-01..2021-12-31,4.509,3.829,1.7,13.9,87.77,-4.417,-4.81,True,True,True
USDINR=X,split_1,usd_liability_exposure,fixed_split,2019-01-01..2021-12-31,4.51,3.83,1.7,13.9,87.77,-2.382,-3.668,True,True,True
USDINR=X,split_2,receiver_currency_exposure,fixed_split,2022-01-01..2024-12-31,2.823,2.004,1.5,10.1,85.15,-5.384,-7.408,True,True,True
USDINR=X,split_2,usd_liability_exposure,fixed_split,2022-01-01..2024-12-31,2.823,2.007,1.5,10.1,85.15,-1.219,-2.054,True,True,True
USDINR=X,split_3,receiver_currency_exposure,fixed_split,2025-01-01..2026-12-31,3.585,3.814,1.2,4.4,72.73,-5.157,-5.798,False,True,True
USDINR=X,split_3,usd_liability_exposure,fixed_split,2025-01-01..2026-12-31,3.585,3.817,1.2,4.4,72.73,-1.549,-1.197,False,True,False
USDINR=X,wf_0,receiver_currency_exposure,walk_forward,2009-03-19..2010-03-18,5.952,4.885,0.6,4.2,85.71,-1.617,-2.226,True,True,True
USDINR=X,wf_0,usd_liability_exposure,walk_forward,2009-03-19..2010-03-18,5.95,4.891,0.6,4.2,85.71,-3.741,-5.666,True,True,True
USDINR=X,wf_1,receiver_currency_exposure,walk_forward,2010-03-19..2011-03-18,5.072,4.774,2.2,6.4,65.62,-2.714,-3.267,True,True,True
USDINR=X,wf_1,usd_liability_exposure,walk_forward,2010-03-19..2011-03-18,5.071,4.776,2.2,6.4,65.62,-2.657,-3.449,True,True,True
USDINR=X,wf_2,receiver_currency_exposure,walk_forward,2011-03-19..2012-03-18,8.495,8.909,0.6,3.0,80.0,-7.332,-7.529,False,True,True
USDINR=X,wf_2,usd_liability_exposure,walk_forward,2011-03-19..2012-03-18,8.494,8.902,0.6,3.0,80.0,-3.705,-2.222,False,True,False
USDINR=X,wf_3,receiver_currency_exposure,walk_forward,2012-03-19..2013-03-18,6.231,5.442,1.0,5.5,81.82,-4.567,-4.378,True,True,False
USDINR=X,wf_3,usd_liability_exposure,walk_forward,2012-03-19..2013-03-18,6.232,5.442,1.0,5.5,81.82,-3.131,-4.629,True,True,True
USDINR=X,wf_4,receiver_currency_exposure,walk_forward,2013-03-19..2014-03-18,7.527,7.492,1.0,6.3,84.13,-8.929,-8.595,True,True,False
USDINR=X,wf_4,usd_liability_exposure,walk_forward,2013-03-19..2014-03-18,7.526,7.491,1.0,6.3,84.13,-4.79,-4.005,True,True,False
USDINR=X,wf_5,receiver_currency_exposure,walk_forward,2014-03-19..2015-03-18,4.177,3.492,1.0,2.5,60.0,-2.61,-3.41,True,True,True
USDINR=X,wf_5,usd_liability_exposure,walk_forward,2014-03-19..2015-03-18,4.175,3.491,1.0,2.5,60.0,-1.644,-1.894,True,True,True
USDINR=X,wf_6,receiver_currency_exposure,walk_forward,2015-03-19..2016-03-18,3.642,3.219,0.9,4.5,80.0,-3.42,-4.903,True,True,True
USDINR=X,wf_6,usd_liability_exposure,walk_forward,2015-03-19..2016-03-18,3.64,3.221,0.9,4.5,80.0,-1.279,-1.317,True,True,True
USDINR=X,wf_7,receiver_currency_exposure,walk_forward,2016-03-19..2017-03-18,2.893,2.257,0.7,4.8,85.42,-1.517,-1.965,True,True,True
USDINR=X,wf_7,usd_liability_exposure,walk_forward,2016-03-19..2017-03-18,2.893,2.261,0.7,4.8,85.42,-1.7,-2.329,True,True,True
USDINR=X,wf_8,receiver_currency_exposure,walk_forward,2017-03-19..2018-03-18,2.68,2.344,1.1,3.7,70.27,-1.098,-1.8,True,True,True
USDINR=X,wf_8,usd_liability_exposure,walk_forward,2017-03-19..2018-03-18,2.68,2.341,1.1,3.7,70.27,-1.378,-1.536,True,True,True
USDINR=X,wf_9,receiver_currency_exposure,walk_forward,2018-03-19..2019-03-18,5.177,5.668,0.7,2.2,68.18,-5.47,-4.456,False,True,False
USDINR=X,wf_9,usd_liability_exposure,walk_forward,2018-03-19..2019-03-18,5.179,5.667,0.7,2.2,68.18,-2.89,-3.321,False,True,True
USDINR=X,wf_10,receiver_currency_exposure,walk_forward,2019-03-19..2020-03-18,5.095,4.399,0.5,4.4,88.64,-3.168,-3.883,True,True,True
USDINR=X,wf_10,usd_liability_exposure,walk_forward,2019-03-19..2020-03-18,5.094,4.401,0.5,4.4,88.64,-1.079,-1.621,True,True,True
USDINR=X,wf_11,receiver_currency_exposure,walk_forward,2020-03-19..2021-03-18,4.949,4.826,0.4,4.1,90.24,-1.539,-1.153,True,True,False
USDINR=X,wf_11,usd_liability_exposure,walk_forward,2020-03-19..2021-03-18,4.949,4.828,0.4,4.1,90.24,-2.382,-3.668,True,True,True
USDINR=X,wf_12,receiver_currency_exposure,walk_forward,2021-03-19..2022-03-18,3.211,2.441,0.8,5.7,85.96,-2.486,-3.601,True,True,True
USDINR=X,wf_12,usd_liability_exposure,walk_forward,2021-03-19..2022-03-18,3.211,2.445,0.8,5.7,85.96,-1.454,-1.817,True,True,True
USDINR=X,wf_13,receiver_currency_exposure,walk_forward,2022-03-19..2023-03-18,3.233,3.002,1.1,4.6,76.09,-3.568,-3.774,True,True,True
USDINR=X,wf_13,usd_liability_exposure,walk_forward,2022-03-19..2023-03-18,3.234,3.007,1.1,4.6,76.09,-1.219,-1.201,True,True,False
USDINR=X,wf_14,receiver_currency_exposure,walk_forward,2023-03-19..2024-03-18,3.064,1.724,0.0,2.2,100.0,-1.275,-3.057,True,True,True
USDINR=X,wf_14,usd_liability_exposure,walk_forward,2023-03-19..2024-03-18,3.064,1.722,0.0,2.2,100.0,-1.023,-2.054,True,True,True
USDINR=X,wf_15,receiver_currency_exposure,walk_forward,2024-03-19..2025-03-18,1.622,1.372,0.1,1.8,94.44,-1.967,-2.439,True,True,True
USDINR=X,wf_15,usd_liability_exposure,walk_forward,2024-03-19..2025-03-18,1.622,1.374,0.1,1.8,94.44,-0.528,-0.498,True,True,False
USDINR=X,wf_16,receiver_currency_exposure,walk_forward,2025-03-19..2026-03-18,3.192,3.193,1.2,4.4,72.73,-3.487,-4.559,False,True,True
USDINR=X,wf_16,usd_liability_exposure,walk_forward,2025-03-19..2026-03-18,3.193,3.197,1.2,4.4,72.73,-1.093,-0.879,False,True,False
USDINR=X,wf_17,receiver_currency_exposure,walk_forward,2026-03-19..2026-05-22,6.024,7.028,0.0,0.0,,-1.835,-1.378,False,False,False
USDINR=X,wf_17,usd_liability_exposure,walk_forward,2026-03-19..2026-05-22,6.024,7.028,0.0,0.0,,-1.064,-0.798,False,False,False
USDPHP=X,split_1,receiver_currency_exposure,fixed_split,2019-01-01..2021-12-31,4.374,3.786,3.4,13.2,74.24,-2.839,-3.783,True,True,True
USDPHP=X,split_1,usd_liability_exposure,fixed_split,2019-01-01..2021-12-31,4.374,3.79,3.4,13.2,74.24,-3.55,-3.997,True,True,True
USDPHP=X,split_2,receiver_currency_exposure,fixed_split,2022-01-01..2024-12-31,4.552,4.089,4.0,12.3,67.48,-4.874,-6.67,True,True,True
USDPHP=X,split_2,usd_liability_exposure,fixed_split,2022-01-01..2024-12-31,4.551,4.089,4.0,12.3,67.48,-3.586,-3.433,True,True,False
USDPHP=X,split_3,receiver_currency_exposure,fixed_split,2025-01-01..2026-12-31,6.378,6.273,0.9,4.8,81.25,-5.228,-4.581,True,True,False
USDPHP=X,split_3,usd_liability_exposure,fixed_split,2025-01-01..2026-12-31,6.377,6.271,0.9,4.8,81.25,-2.988,-2.821,True,True,False
USDPHP=X,wf_0,receiver_currency_exposure,walk_forward,2009-03-22..2010-03-21,5.81,5.179,0.6,4.4,86.36,-1.452,-2.451,True,True,True
USDPHP=X,wf_0,usd_liability_exposure,walk_forward,2009-03-22..2010-03-21,5.808,5.175,0.6,4.4,86.36,-2.961,-3.368,True,True,True
USDPHP=X,wf_1,receiver_currency_exposure,walk_forward,2010-03-22..2011-03-21,5.712,5.202,0.8,3.2,75.0,-2.192,-3.322,True,True,True
USDPHP=X,wf_1,usd_liability_exposure,walk_forward,2010-03-22..2011-03-21,5.714,5.2,0.8,3.2,75.0,-3.578,-4.677,True,True,True
USDPHP=X,wf_2,receiver_currency_exposure,walk_forward,2011-03-22..2012-03-21,5.359,4.683,0.6,4.0,85.0,-2.032,-2.837,True,True,True
USDPHP=X,wf_2,usd_liability_exposure,walk_forward,2011-03-22..2012-03-21,5.358,4.679,0.6,4.0,85.0,-1.708,-2.531,True,True,True
USDPHP=X,wf_3,receiver_currency_exposure,walk_forward,2012-03-22..2013-03-21,5.437,5.109,1.0,4.9,79.59,-1.402,-1.784,True,True,True
USDPHP=X,wf_3,usd_liability_exposure,walk_forward,2012-03-22..2013-03-21,5.438,5.106,1.0,4.9,79.59,-2.479,-4.905,True,True,True
USDPHP=X,wf_4,receiver_currency_exposure,walk_forward,2013-03-22..2014-03-21,4.331,4.167,1.1,3.4,67.65,-3.469,-4.363,True,True,True
USDPHP=X,wf_4,usd_liability_exposure,walk_forward,2013-03-22..2014-03-21,4.332,4.166,1.1,3.4,67.65,-1.376,-1.474,True,True,True
USDPHP=X,wf_5,receiver_currency_exposure,walk_forward,2014-03-22..2015-03-21,4.175,2.932,1.1,4.6,76.09,-1.674,-2.816,True,True,True
USDPHP=X,wf_5,usd_liability_exposure,walk_forward,2014-03-22..2015-03-21,4.174,2.931,1.1,4.6,76.09,-1.769,-2.923,True,True,True
USDPHP=X,wf_6,receiver_currency_exposure,walk_forward,2015-03-22..2016-03-21,3.518,3.328,2.5,6.0,58.33,-3.348,-3.965,True,True,True
USDPHP=X,wf_6,usd_liability_exposure,walk_forward,2015-03-22..2016-03-21,3.518,3.326,2.5,6.0,58.33,-1.602,-1.636,True,True,True
USDPHP=X,wf_7,receiver_currency_exposure,walk_forward,2016-03-22..2017-03-21,9.446,10.618,1.2,4.8,75.0,-5.655,-4.802,False,True,False
USDPHP=X,wf_7,usd_liability_exposure,walk_forward,2016-03-22..2017-03-21,9.443,10.615,1.2,4.8,75.0,-4.354,-3.266,False,True,False
USDPHP=X,wf_8,receiver_currency_exposure,walk_forward,2017-03-22..2018-03-21,3.487,2.55,1.0,4.6,78.26,-2.129,-3.921,True,True,True
USDPHP=X,wf_8,usd_liability_exposure,walk_forward,2017-03-22..2018-03-21,3.487,2.542,1.0,4.6,78.26,-1.472,-1.625,True,True,True
USDPHP=X,wf_9,receiver_currency_exposure,walk_forward,2018-03-22..2019-03-21,3.527,3.157,2.0,5.1,60.78,-1.734,-2.842,True,True,True
USDPHP=X,wf_9,usd_liability_exposure,walk_forward,2018-03-22..2019-03-21,3.526,3.157,2.0,5.1,60.78,-1.775,-1.952,True,True,True
USDPHP=X,wf_10,receiver_currency_exposure,walk_forward,2019-03-22..2020-03-21,4.278,2.9,0.6,4.1,85.37,-1.465,-2.356,True,True,True
USDPHP=X,wf_10,usd_liability_exposure,walk_forward,2019-03-22..2020-03-21,4.28,2.906,0.6,4.1,85.37,-1.531,-2.663,True,True,True
USDPHP=X,wf_11,receiver_currency_exposure,walk_forward,2020-03-22..2021-03-21,4.142,3.983,1.0,3.2,68.75,-0.879,-1.476,True,True,True
USDPHP=X,wf_11,usd_liability_exposure,walk_forward,2020-03-22..2021-03-21,4.143,3.986,1.0,3.2,68.75,-2.662,-3.12,True,True,True
USDPHP=X,wf_12,receiver_currency_exposure,walk_forward,2021-03-22..2022-03-21,5.294,5.378,1.6,5.0,68.0,-3.728,-4.732,False,True,True
USDPHP=X,wf_12,usd_liability_exposure,walk_forward,2021-03-22..2022-03-21,5.293,5.382,1.6,5.0,68.0,-1.74,-1.17,False,True,False
USDPHP=X,wf_13,receiver_currency_exposure,walk_forward,2022-03-22..2023-03-21,5.205,4.917,1.8,4.1,56.1,-4.071,-5.955,True,True,True
USDPHP=X,wf_13,usd_liability_exposure,walk_forward,2022-03-22..2023-03-21,5.201,4.916,1.8,4.1,56.1,-3.586,-3.335,True,True,False
USDPHP=X,wf_14,receiver_currency_exposure,walk_forward,2023-03-22..2024-03-21,3.942,3.151,0.5,4.1,87.8,-2.025,-2.128,True,True,True
USDPHP=X,wf_14,usd_liability_exposure,walk_forward,2023-03-22..2024-03-21,3.942,3.15,0.5,4.1,87.8,-1.357,-2.056,True,True,True
USDPHP=X,wf_15,receiver_currency_exposure,walk_forward,2024-03-22..2025-03-21,4.349,3.986,1.6,4.3,62.79,-2.554,-2.238,True,True,False
USDPHP=X,wf_15,usd_liability_exposure,walk_forward,2024-03-22..2025-03-21,4.349,3.983,1.6,4.3,62.79,-2.092,-2.535,True,True,True
USDPHP=X,wf_16,receiver_currency_exposure,walk_forward,2025-03-22..2026-03-21,6.764,7.032,0.7,3.1,77.42,-4.252,-3.54,False,True,False
USDPHP=X,wf_16,usd_liability_exposure,walk_forward,2025-03-22..2026-03-21,6.764,7.032,0.7,3.1,77.42,-2.278,-2.067,False,True,False
USDPHP=X,wf_17,receiver_currency_exposure,walk_forward,2026-03-22..2026-05-22,5.812,5.131,0.1,0.7,85.71,-1.223,-1.729,True,True,True
USDPHP=X,wf_17,usd_liability_exposure,walk_forward,2026-03-22..2026-05-22,5.812,5.128,0.1,0.7,85.71,-0.787,-0.809,True,True,True
USDZAR=X,split_1,receiver_currency_exposure,fixed_split,2019-01-01..2021-12-31,9.824,9.309,3.6,14.5,75.17,-12.747,-12.72,True,True,False
USDZAR=X,split_1,usd_liability_exposure,fixed_split,2019-01-01..2021-12-31,9.824,9.309,3.6,14.5,75.17,-11.59,-12.646,True,True,True
USDZAR=X,split_2,receiver_currency_exposure,fixed_split,2022-01-01..2024-12-31,8.962,8.227,6.3,14.7,57.14,-10.859,-12.314,True,True,True
USDZAR=X,split_2,usd_liability_exposure,fixed_split,2022-01-01..2024-12-31,8.962,8.227,6.3,14.7,57.14,-4.111,-7.846,True,True,True
USDZAR=X,split_3,receiver_currency_exposure,fixed_split,2025-01-01..2026-12-31,16.444,18.344,1.2,6.2,80.65,-9.925,-7.575,False,True,False
USDZAR=X,split_3,usd_liability_exposure,fixed_split,2025-01-01..2026-12-31,16.445,18.344,1.2,6.2,80.65,-7.348,-8.833,False,True,True
USDZAR=X,wf_0,receiver_currency_exposure,walk_forward,2009-03-19..2010-03-18,11.302,9.879,0.5,4.4,88.64,-2.843,-3.753,True,True,True
USDZAR=X,wf_0,usd_liability_exposure,walk_forward,2009-03-19..2010-03-18,11.303,9.882,0.5,4.4,88.64,-8.854,-12.331,True,True,True
USDZAR=X,wf_1,receiver_currency_exposure,walk_forward,2010-03-19..2011-03-18,8.172,6.97,1.7,5.3,67.92,-3.423,-4.536,True,True,True
USDZAR=X,wf_1,usd_liability_exposure,walk_forward,2010-03-19..2011-03-18,8.172,6.967,1.7,5.3,67.92,-5.704,-8.548,True,True,True
USDZAR=X,wf_2,receiver_currency_exposure,walk_forward,2011-03-19..2012-03-18,11.6,12.293,0.5,3.4,85.29,-10.643,-9.688,False,True,False
USDZAR=X,wf_2,usd_liability_exposure,walk_forward,2011-03-19..2012-03-18,11.601,12.292,0.5,3.4,85.29,-4.623,-5.733,False,True,True
USDZAR=X,wf_3,receiver_currency_exposure,walk_forward,2012-03-19..2013-03-18,9.338,7.89,2.2,5.8,62.07,-5.826,-11.888,True,True,True
