ticker,split,exposure_type,oos_design,test_period,no_change_cost_adj_risk_reduction,regime_based_cost_adj_risk_reduction,no_change_turnover,regime_based_turnover,turnover_reduction_pct,no_change_max_dd_hedged,regime_based_max_dd_hedged,no_change_wins_cost_adj,no_change_wins_turnover,no_change_dd_not_worse
USDMXN=X,wf_9,usd_liability_exposure,walk_forward,2015-09-14..2016-09-13,8.52,8.681,2.7,5.7,52.63,-4.253,-2.829,False,True,False
USDMXN=X,wf_10,us_entity_long_mxn,walk_forward,2016-09-14..2017-09-13,9.411,9.065,0.7,3.1,77.42,-6.197,-6.654,True,True,True
USDMXN=X,wf_10,receiver_currency_exposure,walk_forward,2016-09-14..2017-09-13,9.411,9.065,0.7,3.1,77.42,-6.197,-6.654,True,True,True
USDMXN=X,wf_10,usd_liability_exposure,walk_forward,2016-09-14..2017-09-13,9.409,9.067,0.7,3.1,77.42,-6.987,-7.981,True,True,True
USDMXN=X,wf_11,us_entity_long_mxn,walk_forward,2017-09-14..2018-09-13,7.312,7.427,0.8,3.8,78.95,-5.911,-6.79,False,True,True
USDMXN=X,wf_11,receiver_currency_exposure,walk_forward,2017-09-14..2018-09-13,7.312,7.427,0.8,3.8,78.95,-5.911,-6.79,False,True,True
USDMXN=X,wf_11,usd_liability_exposure,walk_forward,2017-09-14..2018-09-13,7.313,7.428,0.8,3.8,78.95,-4.303,-3.469,False,True,False
USDMXN=X,wf_12,us_entity_long_mxn,walk_forward,2018-09-14..2019-09-13,6.77,5.115,0.6,5.2,88.46,-3.435,-4.163,True,True,True
USDMXN=X,wf_12,receiver_currency_exposure,walk_forward,2018-09-14..2019-09-13,6.77,5.115,0.6,5.2,88.46,-3.435,-4.163,True,True,True
USDMXN=X,wf_12,usd_liability_exposure,walk_forward,2018-09-14..2019-09-13,6.771,5.119,0.6,5.2,88.46,-2.74,-3.946,True,True,True
USDMXN=X,wf_13,us_entity_long_mxn,walk_forward,2019-09-14..2020-09-13,11.319,12.621,0.4,3.4,88.24,-11.556,-8.738,False,True,False
USDMXN=X,wf_13,receiver_currency_exposure,walk_forward,2019-09-14..2020-09-13,11.319,12.621,0.4,3.4,88.24,-11.556,-8.738,False,True,False
USDMXN=X,wf_13,usd_liability_exposure,walk_forward,2019-09-14..2020-09-13,11.319,12.619,0.4,3.4,88.24,-5.782,-5.471,False,True,False
USDMXN=X,wf_14,us_entity_long_mxn,walk_forward,2020-09-14..2021-09-13,7.524,6.415,0.8,4.1,80.49,-2.848,-2.748,True,True,False
USDMXN=X,wf_14,receiver_currency_exposure,walk_forward,2020-09-14..2021-09-13,7.524,6.415,0.8,4.1,80.49,-2.848,-2.748,True,True,False
USDMXN=X,wf_14,usd_liability_exposure,walk_forward,2020-09-14..2021-09-13,7.526,6.41,0.8,4.1,80.49,-4.569,-6.051,True,True,True
USDMXN=X,wf_15,us_entity_long_mxn,walk_forward,2021-09-14..2022-09-13,6.616,6.593,2.0,6.5,69.23,-3.293,-3.758,True,True,True
USDMXN=X,wf_15,receiver_currency_exposure,walk_forward,2021-09-14..2022-09-13,6.616,6.593,2.0,6.5,69.23,-3.293,-3.758,True,True,True
USDMXN=X,wf_15,usd_liability_exposure,walk_forward,2021-09-14..2022-09-13,6.617,6.588,2.0,6.5,69.23,-4.023,-4.646,True,True,True
USDMXN=X,wf_16,us_entity_long_mxn,walk_forward,2022-09-14..2023-09-13,6.406,6.057,1.3,3.7,64.86,-2.163,-3.025,True,True,True
USDMXN=X,wf_16,receiver_currency_exposure,walk_forward,2022-09-14..2023-09-13,6.406,6.057,1.3,3.7,64.86,-2.163,-3.025,True,True,True
USDMXN=X,wf_16,usd_liability_exposure,walk_forward,2022-09-14..2023-09-13,6.408,6.062,1.3,3.7,64.86,-6.294,-7.515,True,True,True
USDMXN=X,wf_17,us_entity_long_mxn,walk_forward,2023-09-14..2024-09-13,8.286,8.302,1.0,3.4,70.59,-7.23,-8.347,False,True,True
USDMXN=X,wf_17,receiver_currency_exposure,walk_forward,2023-09-14..2024-09-13,8.286,8.302,1.0,3.4,70.59,-7.23,-8.347,False,True,True
USDMXN=X,wf_17,usd_liability_exposure,walk_forward,2023-09-14..2024-09-13,8.286,8.304,1.0,3.4,70.59,-4.006,-4.347,False,True,True
USDMXN=X,wf_18,us_entity_long_mxn,walk_forward,2024-09-14..2025-09-13,7.26,7.214,1.3,3.1,58.06,-3.648,-3.111,True,True,False
USDMXN=X,wf_18,receiver_currency_exposure,walk_forward,2024-09-14..2025-09-13,7.26,7.214,1.3,3.1,58.06,-3.648,-3.111,True,True,False
USDMXN=X,wf_18,usd_liability_exposure,walk_forward,2024-09-14..2025-09-13,7.258,7.209,1.3,3.1,58.06,-4.276,-5.663,True,True,True
USDMXN=X,wf_19,us_entity_long_mxn,walk_forward,2025-09-14..2026-05-15,5.07,4.968,0.2,2.0,90.0,-2.229,-2.025,True,True,False
USDMXN=X,wf_19,receiver_currency_exposure,walk_forward,2025-09-14..2026-05-15,5.07,4.968,0.2,2.0,90.0,-2.229,-2.025,True,True,False
USDMXN=X,wf_19,usd_liability_exposure,walk_forward,2025-09-14..2026-05-15,5.07,4.969,0.2,2.0,90.0,-2.521,-3.842,True,True,True
USDBRL=X,split_1,receiver_currency_exposure,fixed_split,2019-01-01..2021-12-31,11.368,11.019,3.8,13.2,71.21,-17.06,-19.737,True,True,True
USDBRL=X,split_1,usd_liability_exposure,fixed_split,2019-01-01..2021-12-31,11.368,11.021,3.8,13.2,71.21,-7.597,-6.374,True,True,False
USDBRL=X,split_2,receiver_currency_exposure,fixed_split,2022-01-01..2024-12-31,9.161,8.529,4.1,15.5,73.55,-11.98,-10.245,True,True,False
USDBRL=X,split_2,usd_liability_exposure,fixed_split,2022-01-01..2024-12-31,9.162,8.529,4.1,15.5,73.55,-6.894,-8.379,True,True,True
USDBRL=X,split_3,receiver_currency_exposure,fixed_split,2025-01-01..2026-12-31,8.183,7.831,1.6,6.2,74.19,-2.657,-2.269,True,True,False
USDBRL=X,split_3,usd_liability_exposure,fixed_split,2025-01-01..2026-12-31,8.184,7.829,1.6,6.2,74.19,-8.601,-10.909,True,True,True
USDBRL=X,wf_0,receiver_currency_exposure,walk_forward,2009-03-19..2010-03-18,13.817,12.44,0.7,2.5,72.0,-3.845,-4.603,True,True,True
USDBRL=X,wf_0,usd_liability_exposure,walk_forward,2009-03-19..2010-03-18,13.819,12.441,0.7,2.5,72.0,-9.968,-11.689,True,True,True
USDBRL=X,wf_1,receiver_currency_exposure,walk_forward,2010-03-19..2011-03-18,15.222,16.408,0.6,3.3,81.82,-3.302,-4.168,False,True,True
USDBRL=X,wf_1,usd_liability_exposure,walk_forward,2010-03-19..2011-03-18,15.222,16.411,0.6,3.3,81.82,-5.5,-6.355,False,True,True
USDBRL=X,wf_2,receiver_currency_exposure,walk_forward,2011-03-19..2012-03-18,11.312,10.537,0.8,3.7,78.38,-6.401,-10.228,True,True,True
USDBRL=X,wf_2,usd_liability_exposure,walk_forward,2011-03-19..2012-03-18,11.314,10.538,0.8,3.7,78.38,-4.347,-4.653,True,True,True
USDBRL=X,wf_3,receiver_currency_exposure,walk_forward,2012-03-19..2013-03-18,6.787,6.044,0.8,3.8,78.95,-4.724,-7.671,True,True,True
USDBRL=X,wf_3,usd_liability_exposure,walk_forward,2012-03-19..2013-03-18,6.784,6.04,0.8,3.8,78.95,-3.072,-3.703,True,True,True
USDBRL=X,wf_4,receiver_currency_exposure,walk_forward,2013-03-19..2014-03-18,8.399,8.887,0.8,3.2,75.0,-8.253,-6.861,False,True,False
USDBRL=X,wf_4,usd_liability_exposure,walk_forward,2013-03-19..2014-03-18,8.401,8.888,0.8,3.2,75.0,-4.946,-4.159,False,True,False
USDBRL=X,wf_5,receiver_currency_exposure,walk_forward,2014-03-19..2015-03-18,9.45,9.914,0.1,2.5,96.0,-14.877,-13.263,False,True,False
USDBRL=X,wf_5,usd_liability_exposure,walk_forward,2014-03-19..2015-03-18,9.451,9.917,0.1,2.5,96.0,-2.442,-2.834,False,True,True
USDBRL=X,wf_6,receiver_currency_exposure,walk_forward,2015-03-19..2016-03-18,13.096,13.712,2.8,5.6,50.0,-12.55,-12.926,False,True,True
USDBRL=X,wf_6,usd_liability_exposure,walk_forward,2015-03-19..2016-03-18,13.096,13.717,2.8,5.6,50.0,-5.024,-5.093,False,True,True
USDBRL=X,wf_7,receiver_currency_exposure,walk_forward,2016-03-19..2017-03-18,11.146,10.839,0.7,3.7,81.08,-5.221,-4.693,True,True,False
USDBRL=X,wf_7,usd_liability_exposure,walk_forward,2016-03-19..2017-03-18,11.147,10.839,0.7,3.7,81.08,-5.496,-7.483,True,True,True
USDBRL=X,wf_8,receiver_currency_exposure,walk_forward,2017-03-19..2018-03-18,10.732,10.894,0.8,3.5,77.14,-3.716,-4.283,False,True,True
USDBRL=X,wf_8,usd_liability_exposure,walk_forward,2017-03-19..2018-03-18,10.735,10.902,0.8,3.5,77.14,-3.052,-2.332,False,True,False
USDBRL=X,wf_9,receiver_currency_exposure,walk_forward,2018-03-19..2019-03-18,10.955,11.631,2.6,6.3,58.73,-8.47,-10.71,False,True,True
USDBRL=X,wf_9,usd_liability_exposure,walk_forward,2018-03-19..2019-03-18,10.954,11.633,2.6,6.3,58.73,-5.242,-4.544,False,True,False
USDBRL=X,wf_10,receiver_currency_exposure,walk_forward,2019-03-19..2020-03-18,9.062,8.357,0.7,4.3,83.72,-9.61,-11.39,True,True,True
USDBRL=X,wf_10,usd_liability_exposure,walk_forward,2019-03-19..2020-03-18,9.062,8.358,0.7,4.3,83.72,-2.859,-4.069,True,True,True
USDBRL=X,wf_11,receiver_currency_exposure,walk_forward,2020-03-19..2021-03-18,14.226,14.691,1.0,4.0,75.0,-7.609,-9.308,False,True,True
USDBRL=X,wf_11,usd_liability_exposure,walk_forward,2020-03-19..2021-03-18,14.226,14.693,1.0,4.0,75.0,-7.597,-5.75,False,True,False
USDBRL=X,wf_12,receiver_currency_exposure,walk_forward,2021-03-19..2022-03-18,10.31,9.15,1.8,4.2,57.14,-5.387,-5.79,True,True,True
USDBRL=X,wf_12,usd_liability_exposure,walk_forward,2021-03-19..2022-03-18,10.311,9.151,1.8,4.2,57.14,-4.818,-5.636,True,True,True
USDBRL=X,wf_13,receiver_currency_exposure,walk_forward,2022-03-19..2023-03-18,11.329,10.858,2.3,8.6,73.26,-6.734,-6.849,True,True,True
USDBRL=X,wf_13,usd_liability_exposure,walk_forward,2022-03-19..2023-03-18,11.329,10.858,2.3,8.6,73.26,-3.414,-4.758,True,True,True
USDBRL=X,wf_14,receiver_currency_exposure,walk_forward,2023-03-19..2024-03-18,7.313,5.979,0.4,3.1,87.1,-2.705,-3.491,True,True,True
USDBRL=X,wf_14,usd_liability_exposure,walk_forward,2023-03-19..2024-03-18,7.314,5.982,0.4,3.1,87.1,-3.334,-4.818,True,True,True
USDBRL=X,wf_15,receiver_currency_exposure,walk_forward,2024-03-19..2025-03-18,8.56,9.126,1.1,3.5,68.57,-8.272,-8.589,False,True,True
USDBRL=X,wf_15,usd_liability_exposure,walk_forward,2024-03-19..2025-03-18,8.561,9.123,1.1,3.5,68.57,-4.292,-3.459,False,True,False
USDBRL=X,wf_16,receiver_currency_exposure,walk_forward,2025-03-19..2026-03-18,7.958,7.263,1.0,4.4,77.27,-2.657,-1.99,True,True,False
USDBRL=X,wf_16,usd_liability_exposure,walk_forward,2025-03-19..2026-03-18,7.96,7.264,1.0,4.4,77.27,-5.233,-8.228,True,True,True
USDBRL=X,wf_17,receiver_currency_exposure,walk_forward,2026-03-19..2026-05-25,8.238,8.849,0.4,1.0,60.0,-1.243,-0.945,False,True,False
USDBRL=X,wf_17,usd_liability_exposure,walk_forward,2026-03-19..2026-05-25,8.24,8.843,0.4,1.0,60.0,-3.032,-2.72,False,True,False
USDCOP=X,split_1,receiver_currency_exposure,fixed_split,2019-01-01..2021-12-31,9.659,9.386,3.8,15.2,75.0,-12.481,-11.502,True,True,False
USDCOP=X,split_1,usd_liability_exposure,fixed_split,2019-01-01..2021-12-31,9.66,9.386,3.8,15.2,75.0,-6.109,-7.346,True,True,True
USDCOP=X,split_2,receiver_currency_exposure,fixed_split,2022-01-01..2024-12-31,10.25,9.746,3.6,13.0,72.31,-11.917,-11.932,True,True,True
USDCOP=X,split_2,usd_liability_exposure,fixed_split,2022-01-01..2024-12-31,10.251,9.749,3.6,13.0,72.31,-8.685,-11.803,True,True,True
USDCOP=X,split_3,receiver_currency_exposure,fixed_split,2025-01-01..2026-12-31,9.503,9.41,1.2,5.8,79.31,-3.658,-3.229,True,True,False
USDCOP=X,split_3,usd_liability_exposure,fixed_split,2025-01-01..2026-12-31,9.502,9.407,1.2,5.8,79.31,-7.279,-9.294,True,True,True
USDCOP=X,wf_0,receiver_currency_exposure,walk_forward,2009-03-23..2010-03-22,14.543,13.319,0.6,2.2,72.73,-3.899,-5.223,True,True,True
USDCOP=X,wf_0,usd_liability_exposure,walk_forward,2009-03-23..2010-03-22,14.541,13.32,0.6,2.2,72.73,-10.684,-11.49,True,True,True
USDCOP=X,wf_1,receiver_currency_exposure,walk_forward,2010-03-23..2011-03-22,12.527,12.111,1.6,4.4,63.64,-4.467,-4.804,True,True,True
USDCOP=X,wf_1,usd_liability_exposure,walk_forward,2010-03-23..2011-03-22,12.529,12.113,1.6,4.4,63.64,-4.371,-5.096,True,True,True
USDCOP=X,wf_2,receiver_currency_exposure,walk_forward,2011-03-23..2012-03-22,10.266,10.095,1.6,3.4,52.94,-5.488,-4.166,True,True,False
USDCOP=X,wf_2,usd_liability_exposure,walk_forward,2011-03-23..2012-03-22,10.265,10.091,1.6,3.4,52.94,-4.13,-4.432,True,True,True
USDCOP=X,wf_3,receiver_currency_exposure,walk_forward,2012-03-23..2013-03-22,7.521,6.572,0.4,5.0,92.0,-2.968,-3.838,True,True,True
USDCOP=X,wf_3,usd_liability_exposure,walk_forward,2012-03-23..2013-03-22,7.521,6.58,0.4,5.0,92.0,-2.711,-2.643,True,True,False
USDCOP=X,wf_4,receiver_currency_exposure,walk_forward,2013-03-23..2014-03-22,9.597,10.863,1.2,3.8,68.42,-7.95,-7.451,False,True,False
USDCOP=X,wf_4,usd_liability_exposure,walk_forward,2013-03-23..2014-03-22,9.597,10.863,1.2,3.8,68.42,-4.534,-3.551,False,True,False
USDCOP=X,wf_5,receiver_currency_exposure,walk_forward,2014-03-23..2015-03-22,10.697,11.962,1.2,2.4,50.0,-13.363,-12.07,False,True,False
USDCOP=X,wf_5,usd_liability_exposure,walk_forward,2014-03-23..2015-03-22,10.696,11.962,1.2,2.4,50.0,-2.62,-2.875,False,True,True
USDCOP=X,wf_6,receiver_currency_exposure,walk_forward,2015-03-23..2016-03-22,16.744,17.756,1.7,4.9,65.31,-14.007,-13.541,False,True,False
USDCOP=X,wf_6,usd_liability_exposure,walk_forward,2015-03-23..2016-03-22,16.743,17.754,1.7,4.9,65.31,-4.381,-5.239,False,True,True
USDCOP=X,wf_7,receiver_currency_exposure,walk_forward,2016-03-23..2017-03-22,14.9,13.503,1.3,5.5,76.36,-6.304,-5.109,True,True,False
USDCOP=X,wf_7,usd_liability_exposure,walk_forward,2016-03-23..2017-03-22,14.901,13.504,1.3,5.5,76.36,-3.884,-5.608,True,True,True
USDCOP=X,wf_8,receiver_currency_exposure,walk_forward,2017-03-23..2018-03-22,10.619,8.155,1.0,5.7,82.46,-3.455,-4.832,True,True,True
USDCOP=X,wf_8,usd_liability_exposure,walk_forward,2017-03-23..2018-03-22,10.619,8.156,1.0,5.7,82.46,-3.193,-4.044,True,True,True
