ticker,split,exposure_type,oos_design,test_period,cost_layer,no_change_cost_adj_risk_reduction,regime_based_cost_adj_risk_reduction,no_change_turnover,regime_based_turnover,no_change_wins_cost_adj,turnover_reduction_pct,no_change_wins_turnover
USDMXN=X,wf_4,us_entity_long_mxn,walk_forward,2010-09-14..2011-09-13,forward_full,2.555,1.984,1.1,4.1,True,73.17,True
USDMXN=X,wf_4,receiver_currency_exposure,walk_forward,2010-09-14..2011-09-13,base,5.342,4.504,1.1,4.1,True,73.17,True
USDMXN=X,wf_4,receiver_currency_exposure,walk_forward,2010-09-14..2011-09-13,forward_full,2.555,1.984,1.1,4.1,True,73.17,True
USDMXN=X,wf_4,usd_liability_exposure,walk_forward,2010-09-14..2011-09-13,base,5.341,4.505,1.1,4.1,True,73.17,True
USDMXN=X,wf_4,usd_liability_exposure,walk_forward,2010-09-14..2011-09-13,forward_full,2.554,1.984,1.1,4.1,True,73.17,True
USDMXN=X,wf_5,us_entity_long_mxn,walk_forward,2011-09-14..2012-09-13,base,8.661,9.398,2.1,3.9,False,46.15,True
USDMXN=X,wf_5,us_entity_long_mxn,walk_forward,2011-09-14..2012-09-13,forward_full,5.967,6.558,2.1,3.9,False,46.15,True
USDMXN=X,wf_5,receiver_currency_exposure,walk_forward,2011-09-14..2012-09-13,base,8.661,9.398,2.1,3.9,False,46.15,True
USDMXN=X,wf_5,receiver_currency_exposure,walk_forward,2011-09-14..2012-09-13,forward_full,5.967,6.558,2.1,3.9,False,46.15,True
USDMXN=X,wf_5,usd_liability_exposure,walk_forward,2011-09-14..2012-09-13,base,8.661,9.398,2.1,3.9,False,46.15,True
USDMXN=X,wf_5,usd_liability_exposure,walk_forward,2011-09-14..2012-09-13,forward_full,5.967,6.56,2.1,3.9,False,46.15,True
USDMXN=X,wf_6,us_entity_long_mxn,walk_forward,2012-09-14..2013-09-13,base,6.327,5.928,0.7,4.3,True,83.72,True
USDMXN=X,wf_6,us_entity_long_mxn,walk_forward,2012-09-14..2013-09-13,forward_full,3.564,3.29,0.7,4.3,True,83.72,True
USDMXN=X,wf_6,receiver_currency_exposure,walk_forward,2012-09-14..2013-09-13,base,6.327,5.928,0.7,4.3,True,83.72,True
USDMXN=X,wf_6,receiver_currency_exposure,walk_forward,2012-09-14..2013-09-13,forward_full,3.564,3.29,0.7,4.3,True,83.72,True
USDMXN=X,wf_6,usd_liability_exposure,walk_forward,2012-09-14..2013-09-13,base,6.328,5.936,0.7,4.3,True,83.72,True
USDMXN=X,wf_6,usd_liability_exposure,walk_forward,2012-09-14..2013-09-13,forward_full,3.565,3.313,0.7,4.3,True,83.72,True
USDMXN=X,wf_7,us_entity_long_mxn,walk_forward,2013-09-14..2014-09-13,base,4.716,4.054,0.3,3.3,True,90.91,True
USDMXN=X,wf_7,us_entity_long_mxn,walk_forward,2013-09-14..2014-09-13,forward_full,1.943,1.737,0.3,3.3,True,90.91,True
USDMXN=X,wf_7,receiver_currency_exposure,walk_forward,2013-09-14..2014-09-13,base,4.716,4.054,0.3,3.3,True,90.91,True
