ticker,split,exposure_type,oos_design,test_period,cost_layer,no_change_cost_adj,half_cost_adj,no_change_turnover,half_turnover,no_change_wins_cost_adj,turnover_reduction_pct,static_benchmark,mostly_cost_adj,mostly_turnover
USDMXN=X,wf_3,usd_liability_exposure,walk_forward,2009-09-14..2010-09-13,forward_full,4.529,3.514,0.6,0.0,True,,half_hedged,,
USDMXN=X,wf_4,us_entity_long_mxn,walk_forward,2010-09-14..2011-09-13,base,5.342,4.06,1.1,0.0,True,,half_hedged,,
USDMXN=X,wf_4,us_entity_long_mxn,walk_forward,2010-09-14..2011-09-13,forward_full,2.555,2.018,1.1,0.0,True,,half_hedged,,
USDMXN=X,wf_4,receiver_currency_exposure,walk_forward,2010-09-14..2011-09-13,base,5.342,4.06,1.1,0.0,True,,half_hedged,,
USDMXN=X,wf_4,receiver_currency_exposure,walk_forward,2010-09-14..2011-09-13,forward_full,2.555,2.018,1.1,0.0,True,,half_hedged,,
USDMXN=X,wf_4,usd_liability_exposure,walk_forward,2010-09-14..2011-09-13,base,5.341,4.06,1.1,0.0,True,,half_hedged,,
USDMXN=X,wf_4,usd_liability_exposure,walk_forward,2010-09-14..2011-09-13,forward_full,2.554,2.018,1.1,0.0,True,,half_hedged,,
USDMXN=X,wf_5,us_entity_long_mxn,walk_forward,2011-09-14..2012-09-13,base,8.661,7.052,2.1,0.0,True,,half_hedged,,
USDMXN=X,wf_5,us_entity_long_mxn,walk_forward,2011-09-14..2012-09-13,forward_full,5.967,5.002,2.1,0.0,True,,half_hedged,,
USDMXN=X,wf_5,receiver_currency_exposure,walk_forward,2011-09-14..2012-09-13,base,8.661,7.052,2.1,0.0,True,,half_hedged,,
USDMXN=X,wf_5,receiver_currency_exposure,walk_forward,2011-09-14..2012-09-13,forward_full,5.967,5.002,2.1,0.0,True,,half_hedged,,
USDMXN=X,wf_5,usd_liability_exposure,walk_forward,2011-09-14..2012-09-13,base,8.661,7.052,2.1,0.0,True,,half_hedged,,
USDMXN=X,wf_5,usd_liability_exposure,walk_forward,2011-09-14..2012-09-13,forward_full,5.967,5.002,2.1,0.0,True,,half_hedged,,
USDMXN=X,wf_6,us_entity_long_mxn,walk_forward,2012-09-14..2013-09-13,base,6.327,4.937,0.7,0.0,True,,half_hedged,,
USDMXN=X,wf_6,us_entity_long_mxn,walk_forward,2012-09-14..2013-09-13,forward_full,3.564,2.896,0.7,0.0,True,,half_hedged,,
USDMXN=X,wf_6,receiver_currency_exposure,walk_forward,2012-09-14..2013-09-13,base,6.327,4.937,0.7,0.0,True,,half_hedged,,
USDMXN=X,wf_6,receiver_currency_exposure,walk_forward,2012-09-14..2013-09-13,forward_full,3.564,2.896,0.7,0.0,True,,half_hedged,,
USDMXN=X,wf_6,usd_liability_exposure,walk_forward,2012-09-14..2013-09-13,base,6.328,4.937,0.7,0.0,True,,half_hedged,,
USDMXN=X,wf_6,usd_liability_exposure,walk_forward,2012-09-14..2013-09-13,forward_full,3.565,2.896,0.7,0.0,True,,half_hedged,,
USDMXN=X,wf_7,us_entity_long_mxn,walk_forward,2013-09-14..2014-09-13,base,4.716,3.619,0.3,0.0,True,,half_hedged,,
USDMXN=X,wf_7,us_entity_long_mxn,walk_forward,2013-09-14..2014-09-13,forward_full,1.943,1.585,0.3,0.0,True,,half_hedged,,
USDMXN=X,wf_7,receiver_currency_exposure,walk_forward,2013-09-14..2014-09-13,base,4.716,3.619,0.3,0.0,True,,half_hedged,,
USDMXN=X,wf_7,receiver_currency_exposure,walk_forward,2013-09-14..2014-09-13,forward_full,1.943,1.585,0.3,0.0,True,,half_hedged,,
USDMXN=X,wf_7,usd_liability_exposure,walk_forward,2013-09-14..2014-09-13,base,4.716,3.619,0.3,0.0,True,,half_hedged,,
USDMXN=X,wf_7,usd_liability_exposure,walk_forward,2013-09-14..2014-09-13,forward_full,1.942,1.585,0.3,0.0,True,,half_hedged,,
USDMXN=X,wf_8,us_entity_long_mxn,walk_forward,2014-09-14..2015-09-13,base,6.223,5.081,0.6,0.0,True,,half_hedged,,
USDMXN=X,wf_8,us_entity_long_mxn,walk_forward,2014-09-14..2015-09-13,forward_full,3.643,3.055,0.6,0.0,True,,half_hedged,,
USDMXN=X,wf_8,receiver_currency_exposure,walk_forward,2014-09-14..2015-09-13,base,6.223,5.081,0.6,0.0,True,,half_hedged,,
USDMXN=X,wf_8,receiver_currency_exposure,walk_forward,2014-09-14..2015-09-13,forward_full,3.643,3.055,0.6,0.0,True,,half_hedged,,
USDMXN=X,wf_8,usd_liability_exposure,walk_forward,2014-09-14..2015-09-13,base,6.223,5.081,0.6,0.0,True,,half_hedged,,
USDMXN=X,wf_8,usd_liability_exposure,walk_forward,2014-09-14..2015-09-13,forward_full,3.643,3.055,0.6,0.0,True,,half_hedged,,
USDMXN=X,wf_9,us_entity_long_mxn,walk_forward,2015-09-14..2016-09-13,base,8.52,6.866,2.7,0.0,True,,half_hedged,,
USDMXN=X,wf_9,us_entity_long_mxn,walk_forward,2015-09-14..2016-09-13,forward_full,5.771,4.816,2.7,0.0,True,,half_hedged,,
USDMXN=X,wf_9,receiver_currency_exposure,walk_forward,2015-09-14..2016-09-13,base,8.52,6.866,2.7,0.0,True,,half_hedged,,
