date,institution_type,payment_system,currency,country,average_daily_settlement_value_usd,peak_daily_settlement_value_usd,prefunding_required_usd,collateral_required_usd,settlement_account_balance_usd,intraday_credit_used_usd,liquidity_buffer_usd,cost_of_capital_pct,interest_rate_pct,opportunity_cost_usd,source_id,bis_system,bis_system_type,bis_year,observed_vs_estimated_flag,source_name,source_url_or_reference,data_provider,publication_date,extraction_date,vintage_date,update_frequency,license_or_usage_note,raw_file_name,raw_file_hash_sha256,transformation_script,methodology_version,official_vs_manual_flag,mock_data_flag,credibility_tier,data_quality_score,data_quality_grade,confidence_score,required_liquidity_usd,liquidity_opportunity_cost_usd,intraday_credit_cost_usd,liquidity_burden_ratio,liquidity_cost_per_100,operational_liquidity_burden_score,interpretation,limitations,entity,entity_type
2024-12-31,payment_system,"Argentina - Value of All Delivery instructions in CRYL - Central de Registro y Liquidacion de Titulos, Central securitie",USD,Argentina,27157600183093.152,36662760247175.76,3258912021971.178,814728005492.7946,1303564808788.4714,2172608014647.452,488836803295.6767,0.0362,,,bis_cpmi,AR2S,V,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86,5866041639548.121,212350707351.642,215475096.24722674,0.216,0.7819200000000001,88.41808,Moderate liquidity burden,"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Argentina - Value of All Delivery instructions in CRYL - Central de Registro y Liquidacion de Titulos, Central securitie",payment_system
2024-12-31,settlement_bank,"India - Value of All Contracts and transactions in ICCL, Central counterparties/clearing houses, settled in All / Total",USD,India,25853587005479.453,34902342457397.266,1551215220328.767,387803805082.1918,620486088131.5068,2068286960438.356,232682283049.31503,0.0362,,,bis_cpmi,IN4C,U,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86,2792187396591.781,101077183756.62247,205128734.1585438,0.108,0.39096000000000003,94.20904,Efficient liquidity (estimated),"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","India - Value of All Contracts and transactions in ICCL, Central counterparties/clearing houses, settled in All / Total",payment_system
2024-12-31,settlement_bank,"China - Value of All Transactions in HVPS, Payment systems, large-value",USD,China,24175844952909.59,32637390686427.95,1450550697174.5754,362637674293.64386,580220278869.8302,1934067596232.767,217582604576.1863,0.0362,,,bis_cpmi,CN1P,A,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86,2610991254914.236,94517883427.89534,191817115.02363336,0.108,0.39096000000000003,94.20904,Efficient liquidity (estimated),"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","China - Value of All Transactions in HVPS, Payment systems, large-value",payment_system
2024-12-31,payment_system,"Korea - Value of All Delivery instructions in Korea Securities Depository (KSD), Central securities depositories, settle",USD,South Korea,22431034068493.152,30281895992465.76,2691724088219.178,672931022054.7946,1076689635287.6714,1794482725479.452,403758613232.8767,0.0362,,,bis_cpmi,KR1S,V,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86,4845103358794.521,175392741588.3617,177973355.23933196,0.21600000000000003,0.7819200000000002,88.41808,Moderate liquidity burden,"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Korea - Value of All Delivery instructions in Korea Securities Depository (KSD), Central securities depositories, settle",payment_system
2024-12-31,payment_system,"Indonesia - Value of All Securities in Indonesia Central Securities Depository (KSEI) / C - Best, Central securities dep",USD,Indonesia,21366288698630.137,28844489743150.688,2563954643835.616,640988660958.904,1025581857534.2466,1709303095890.411,384593196575.3424,0.0362,,,bis_cpmi,ID1S,V,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86,4615118358904.109,167067284592.32877,169525402.9348846,0.216,0.7819200000000001,88.41808,Moderate liquidity burden,"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Indonesia - Value of All Securities in Indonesia Central Securities Depository (KSEI) / C - Best, Central securities dep",payment_system
2024-12-31,payment_system,"Brazil - Value of All Delivery instructions in Balcão B3, Central securities depositories, settled in All / Total",USD,Brazil,16689620221917.809,22530987299589.043,2002754426630.137,500688606657.53424,801101770652.0548,1335169617753.4248,300413163994.5205,0.0362,,,bis_cpmi,BR2S,V,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86,3604957967934.2466,130499478439.21974,132419562.08951776,0.216,0.7819200000000001,88.41808,Moderate liquidity burden,"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Brazil - Value of All Delivery instructions in Balcão B3, Central securities depositories, settled in All / Total",payment_system
2024-12-31,settlement_bank,"Japan - Value of All Transactions in FXYCS, Payment systems, large-value",USD,Japan,16559899802739.729,22355864733698.633,993593988164.3835,248398497041.0959,397437595265.7534,1324791984219.1782,149039098224.65753,0.0362,,,bis_cpmi,JP2P,A,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86,1788469178695.8904,64742584268.79124,131390328.29790206,0.10799999999999998,0.39096000000000003,94.20904,Efficient liquidity (estimated),"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Japan - Value of All Transactions in FXYCS, Payment systems, large-value",payment_system
2024-12-31,payment_system,"Japan - Value of All Delivery instructions in JASDEC, Central securities depositories, settled in All / Total",USD,Japan,16461242684931.508,22222677624657.535,1975349122191.7808,493837280547.9452,790139648876.7124,1316899414794.5208,296302368328.7671,0.0362,,,bis_cpmi,JP2S,V,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86,3555628419945.2056,128713748802.01645,130607558.39879905,0.216,0.7819200000000001,88.41808,Moderate liquidity burden,"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Japan - Value of All Delivery instructions in JASDEC, Central securities depositories, settled in All / Total",payment_system
2024-12-31,payment_system,"Indonesia - Value of All Transactions in Bank Indonesia National Clearing System, Payment systems, retail",USD,Indonesia,13631702964383.562,18402799001917.812,1635804355726.027,408951088931.5069,654321742290.411,1090536237150.685,245370653358.90408,0.0362,,,bis_cpmi,ID2P,B,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86,2944447840306.849,106589011819.10794,108157292.56124604,0.21599999999999997,0.7819199999999998,88.41808,Moderate liquidity burden,"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Indonesia - Value of All Transactions in Bank Indonesia National Clearing System, Payment systems, retail",payment_system
2024-12-31,settlement_bank,"United States - Value of All Contracts and transactions in FICC, Central counterparties/clearing houses, settled in All ",USD,United States,7495753424657.534,10119267123287.672,449745205479.452,112436301369.863,179898082191.78082,599660273972.6028,67461780821.9178,0.0362,,,bis_cpmi,US2C,U,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86,809541369863.0138,29305397589.041103,59473155.93920061,0.10800000000000001,0.3909600000000001,94.20904,Efficient liquidity (estimated),"OLB estimates liquidity opportunity cost from prefunding, collateral, and buffers. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","United States - Value of All Contracts and transactions in FICC, Central counterparties/clearing houses, settled in All ",payment_system
